Trace1,,,,,,
Freq,,Amp,,,,
1000,Hz,-7.85, dBm,49600,,
1081,Hz,-7.85, dBm,-34.6,15.256,Khz
1162,Hz,-7.85, dBm,,,
1243,Hz,-7.85, dBm,,,
1324,Hz,-7.85, dBm,,,
1405,Hz,-7.85, dBm,,,
1486,Hz,-7.85, dBm,,,
1567,Hz,-7.86, dBm,,,
1648,Hz,-7.88, dBm,,,
1729,Hz,-7.93, dBm,,,
1810,Hz,-8.02, dBm,,,
1891,Hz,-8.16, dBm,,,
1972,Hz,-8.35, dBm,,,
2053,Hz,-8.59, dBm,,,
2134,Hz,-8.85, dBm,,,
2215,Hz,-9.14, dBm,,,
2296,Hz,-9.45, dBm,,,
2377,Hz,-9.79, dBm,,,
2458,Hz,-10.15, dBm,,,
2539,Hz,-10.53, dBm,,,
2620,Hz,-10.94, dBm,,,
2701,Hz,-11.35, dBm,,,
2782,Hz,-11.79, dBm,,,
2863,Hz,-12.25, dBm,,,
2944,Hz,-12.72, dBm,,,
3025,Hz,-13.22, dBm,,,
3106,Hz,-13.73, dBm,,,
3187,Hz,-14.27, dBm,,,
3268,Hz,-14.83, dBm,,,
3349,Hz,-15.41, dBm,,,
3430,Hz,-16.01, dBm,,,
3511,Hz,-16.64, dBm,,,
3592,Hz,-17.28, dBm,,,
3673,Hz,-17.95, dBm,,,
3754,Hz,-18.64, dBm,,,
3835,Hz,-19.35, dBm,,,
3916,Hz,-20.09, dBm,,,
3997,Hz,-20.86, dBm,,,
4078,Hz,-21.64, dBm,,,
4159,Hz,-22.44, dBm,,,
4240,Hz,-23.27, dBm,,,
4321,Hz,-24.12, dBm,,,
4402,Hz,-24.99, dBm,,,
4483,Hz,-25.89, dBm,,,
4564,Hz,-26.81, dBm,,,
4645,Hz,-27.75, dBm,,,
4726,Hz,-28.71, dBm,,,
4807,Hz,-29.69, dBm,,,
4888,Hz,-30.71, dBm,,,
4969,Hz,-31.74, dBm,,,
5050,Hz,-32.79, dBm,,,
5131,Hz,-33.87, dBm,,,
5212,Hz,-34.97, dBm,,,
5293,Hz,-36.09, dBm,,,
5374,Hz,-37.23, dBm,,,
5455,Hz,-38.38, dBm,,,
5536,Hz,-39.52, dBm,,,
5617,Hz,-40.68, dBm,,,
5698,Hz,-41.85, dBm,,,
5779,Hz,-43.03, dBm,,,
