Trace1,
Freq,,Amp,,
                1000,Hz,              -16.89, dBm,
                1081,Hz,              -17.56, dBm,
                1162,Hz,              -18.40, dBm,
                1243,Hz,              -19.42, dBm,
                1324,Hz,              -20.63, dBm,
                1405,Hz,              -22.05, dBm,
                1486,Hz,              -23.69, dBm,
                1567,Hz,              -25.56, dBm,
                1648,Hz,              -27.66, dBm,
                1729,Hz,              -29.94, dBm,
                1810,Hz,              -32.37, dBm,
                1891,Hz,              -34.92, dBm,
                1972,Hz,              -37.55, dBm,
                2053,Hz,              -40.17, dBm,
                2134,Hz,              -42.71, dBm,
                2215,Hz,              -45.06, dBm,
                2296,Hz,              -47.12, dBm,
                2377,Hz,              -48.80, dBm,
                2458,Hz,              -50.05, dBm,
                2539,Hz,              -50.85, dBm,
                2620,Hz,              -51.34, dBm,
                2701,Hz,              -51.64, dBm,
                2782,Hz,              -51.82, dBm,
                2863,Hz,              -51.91, dBm,
                2944,Hz,              -51.95, dBm,
                3025,Hz,              -51.94, dBm,
                3106,Hz,              -51.91, dBm,
                3187,Hz,              -51.89, dBm,
                3268,Hz,              -51.87, dBm,
                3349,Hz,              -51.87, dBm,
                3430,Hz,              -51.87, dBm,
                3511,Hz,              -51.89, dBm,
                3592,Hz,              -51.93, dBm,
                3673,Hz,              -51.98, dBm,
                3754,Hz,              -52.06, dBm,
                3835,Hz,              -52.15, dBm,
                3916,Hz,              -52.25, dBm,
                3997,Hz,              -52.37, dBm,
                4078,Hz,              -52.48, dBm,
                4159,Hz,              -52.58, dBm,
                4240,Hz,              -52.64, dBm,
                4321,Hz,              -52.65, dBm,
                4402,Hz,              -52.62, dBm,
                4483,Hz,              -52.57, dBm,
                4564,Hz,              -52.49, dBm,
                4645,Hz,              -52.41, dBm,
                4726,Hz,              -52.32, dBm,
                4807,Hz,              -52.22, dBm,
                4888,Hz,              -52.14, dBm,
                4969,Hz,              -52.07, dBm,
                5050,Hz,              -52.01, dBm,
                5131,Hz,              -51.96, dBm,
                5212,Hz,              -51.92, dBm,
                5293,Hz,              -51.89, dBm,
                5374,Hz,              -51.87, dBm,
                5455,Hz,              -51.86, dBm,
                5536,Hz,              -51.87, dBm,
                5617,Hz,              -51.89, dBm,
                5698,Hz,              -51.91, dBm,
                5779,Hz,              -51.95, dBm,
                5860,Hz,              -51.98, dBm,
                5941,Hz,              -52.01, dBm,
                6022,Hz,              -52.02, dBm,
                6103,Hz,              -52.02, dBm,
                6184,Hz,              -52.02, dBm,
                6265,Hz,              -52.03, dBm,
                6346,Hz,              -52.07, dBm,
                6427,Hz,              -52.13, dBm,
                6508,Hz,              -52.21, dBm,
                6589,Hz,              -52.31, dBm,
                6670,Hz,              -52.42, dBm,
                6751,Hz,              -52.55, dBm,
                6832,Hz,              -52.70, dBm,
                6913,Hz,              -52.86, dBm,
                6994,Hz,              -53.02, dBm,
                7075,Hz,              -53.19, dBm,
                7156,Hz,              -53.37, dBm,
                7237,Hz,              -53.53, dBm,
                7318,Hz,              -53.67, dBm,
                7399,Hz,              -53.77, dBm,
                7480,Hz,              -53.84, dBm,
                7561,Hz,              -53.87, dBm,
                7642,Hz,              -53.89, dBm,
                7723,Hz,              -53.90, dBm,
                7804,Hz,              -53.91, dBm,
                7885,Hz,              -53.92, dBm,
                7966,Hz,              -53.94, dBm,
                8047,Hz,              -53.95, dBm,
                8128,Hz,              -53.96, dBm,
                8209,Hz,              -53.95, dBm,
                8290,Hz,              -53.94, dBm,
                8371,Hz,              -53.96, dBm,
                8452,Hz,              -54.00, dBm,
                8533,Hz,              -54.04, dBm,
                8614,Hz,              -54.09, dBm,
                8695,Hz,              -54.13, dBm,
                8776,Hz,              -54.16, dBm,
                8857,Hz,              -54.20, dBm,
                8938,Hz,              -54.26, dBm,
                9019,Hz,              -54.33, dBm,
                9100,Hz,              -54.42, dBm,
                9181,Hz,              -54.52, dBm,
                9262,Hz,              -54.61, dBm,
                9343,Hz,              -54.69, dBm,
                9424,Hz,              -54.76, dBm,
                9505,Hz,              -54.82, dBm,
                9586,Hz,              -54.88, dBm,
                9667,Hz,              -54.93, dBm,
                9748,Hz,              -54.98, dBm,
                9829,Hz,              -55.02, dBm,
                9910,Hz,              -55.05, dBm,
                9991,Hz,              -55.07, dBm,
               10072,Hz,              -55.09, dBm,
               10153,Hz,              -55.11, dBm,
               10234,Hz,              -55.15, dBm,
               10315,Hz,              -55.17, dBm,
               10396,Hz,              -55.18, dBm,
               10477,Hz,              -55.18, dBm,
               10558,Hz,              -55.14, dBm,
               10639,Hz,              -55.10, dBm,
               10720,Hz,              -55.03, dBm,
               10801,Hz,              -54.95, dBm,
               10882,Hz,              -54.86, dBm,
               10963,Hz,              -54.76, dBm,
               11044,Hz,              -54.67, dBm,
               11125,Hz,              -54.58, dBm,
               11206,Hz,              -54.48, dBm,
               11287,Hz,              -54.39, dBm,
               11368,Hz,              -54.30, dBm,
               11449,Hz,              -54.22, dBm,
               11530,Hz,              -54.15, dBm,
               11611,Hz,              -54.08, dBm,
               11692,Hz,              -54.02, dBm,
               11773,Hz,              -53.96, dBm,
               11854,Hz,              -53.91, dBm,
               11935,Hz,              -53.87, dBm,
               12016,Hz,              -53.82, dBm,
               12097,Hz,              -53.77, dBm,
               12178,Hz,              -53.76, dBm,
               12259,Hz,              -53.76, dBm,
               12340,Hz,              -53.76, dBm,
               12421,Hz,              -53.77, dBm,
               12502,Hz,              -53.74, dBm,
               12583,Hz,              -53.67, dBm,
               12664,Hz,              -53.46, dBm,
               12745,Hz,              -53.01, dBm,
               12826,Hz,              -52.30, dBm,
               12907,Hz,              -51.33, dBm,
               12988,Hz,              -50.10, dBm,
               13069,Hz,              -48.66, dBm,
               13150,Hz,              -47.08, dBm,
               13231,Hz,              -45.41, dBm,
               13312,Hz,              -43.70, dBm,
               13393,Hz,              -41.99, dBm,
               13474,Hz,              -40.29, dBm,
               13555,Hz,              -38.65, dBm,
               13636,Hz,              -37.08, dBm,
               13717,Hz,              -35.61, dBm,
               13798,Hz,              -34.24, dBm,
               13879,Hz,              -32.97, dBm,
               13960,Hz,              -31.80, dBm,
               14041,Hz,              -30.73, dBm,
               14122,Hz,              -29.76, dBm,
               14203,Hz,              -28.90, dBm,
               14284,Hz,              -28.14, dBm,
               14365,Hz,              -27.47, dBm,
               14446,Hz,              -26.91, dBm,
               14527,Hz,              -26.43, dBm,
               14608,Hz,              -26.05, dBm,
               14689,Hz,              -25.76, dBm,
               14770,Hz,              -25.55, dBm,
               14851,Hz,              -25.43, dBm,
               14932,Hz,              -25.41, dBm,
               15013,Hz,              -25.47, dBm,
               15094,Hz,              -25.62, dBm,
               15175,Hz,              -25.85, dBm,
               15256,Hz,              -26.16, dBm,
               15337,Hz,              -26.57, dBm,
               15418,Hz,              -27.07, dBm,
               15499,Hz,              -27.68, dBm,
               15580,Hz,              -28.39, dBm,
               15661,Hz,              -29.21, dBm,
               15742,Hz,              -30.15, dBm,
               15823,Hz,              -31.21, dBm,
               15904,Hz,              -32.39, dBm,
               15985,Hz,              -33.67, dBm,
               16066,Hz,              -35.05, dBm,
               16147,Hz,              -36.54, dBm,
               16228,Hz,              -38.12, dBm,
               16309,Hz,              -39.79, dBm,
               16390,Hz,              -41.54, dBm,
               16471,Hz,              -43.38, dBm,
               16552,Hz,              -45.26, dBm,
               16633,Hz,              -47.17, dBm,
               16714,Hz,              -49.04, dBm,
               16795,Hz,              -50.82, dBm,
               16876,Hz,              -52.44, dBm,
               16957,Hz,              -53.86, dBm,
               17038,Hz,              -55.05, dBm,
               17119,Hz,              -55.98, dBm,
               17200,Hz,              -56.64, dBm,
               17281,Hz,              -57.09, dBm,
               17362,Hz,              -57.37, dBm,
               17443,Hz,              -57.51, dBm,
               17524,Hz,              -57.57, dBm,
               17605,Hz,              -57.59, dBm,
               17686,Hz,              -57.60, dBm,
               17767,Hz,              -57.61, dBm,
               17848,Hz,              -57.65, dBm,
               17929,Hz,              -57.71, dBm,
               18010,Hz,              -57.77, dBm,
               18091,Hz,              -57.84, dBm,
               18172,Hz,              -57.91, dBm,
               18253,Hz,              -58.00, dBm,
               18334,Hz,              -58.08, dBm,
               18415,Hz,              -58.16, dBm,
               18496,Hz,              -58.21, dBm,
               18577,Hz,              -58.25, dBm,
               18658,Hz,              -58.28, dBm,
               18739,Hz,              -58.30, dBm,
               18820,Hz,              -58.32, dBm,
               18901,Hz,              -58.33, dBm,
               18982,Hz,              -58.35, dBm,
               19063,Hz,              -58.36, dBm,
               19144,Hz,              -58.37, dBm,
               19225,Hz,              -58.36, dBm,
               19306,Hz,              -58.35, dBm,
               19387,Hz,              -58.33, dBm,
               19468,Hz,              -58.30, dBm,
               19549,Hz,              -58.29, dBm,
               19630,Hz,              -58.30, dBm,
               19711,Hz,              -58.31, dBm,
               19792,Hz,              -58.33, dBm,
               19873,Hz,              -58.35, dBm,
               19954,Hz,              -58.40, dBm,
               20035,Hz,              -58.46, dBm,
               20116,Hz,              -58.52, dBm,
               20197,Hz,              -58.58, dBm,
               20278,Hz,              -58.64, dBm,
               20359,Hz,              -58.70, dBm,
               20440,Hz,              -58.76, dBm,
               20521,Hz,              -58.82, dBm,
               20602,Hz,              -58.88, dBm,
               20683,Hz,              -58.92, dBm,
               20764,Hz,              -58.94, dBm,
               20845,Hz,              -58.95, dBm,
               20926,Hz,              -58.95, dBm,
               21007,Hz,              -58.94, dBm,
               21088,Hz,              -58.93, dBm,
               21169,Hz,              -58.94, dBm,
               21250,Hz,              -58.96, dBm,
               21331,Hz,              -59.00, dBm,
               21412,Hz,              -59.03, dBm,
               21493,Hz,              -59.06, dBm,
               21574,Hz,              -59.09, dBm,
               21655,Hz,              -59.12, dBm,
               21736,Hz,              -59.16, dBm,
               21817,Hz,              -59.21, dBm,
               21898,Hz,              -59.28, dBm,
               21979,Hz,              -59.36, dBm,
               22060,Hz,              -59.42, dBm,
               22141,Hz,              -59.45, dBm,
               22222,Hz,              -59.45, dBm,
               22303,Hz,              -59.42, dBm,
               22384,Hz,              -59.38, dBm,
               22465,Hz,              -59.35, dBm,
               22546,Hz,              -59.31, dBm,
               22627,Hz,              -59.28, dBm,
               22708,Hz,              -59.25, dBm,
               22789,Hz,              -59.23, dBm,
               22870,Hz,              -59.19, dBm,
               22951,Hz,              -59.15, dBm,
               23032,Hz,              -59.11, dBm,
               23113,Hz,              -59.07, dBm,
               23194,Hz,              -59.05, dBm,
