Trace1,
Freq,,Amp,,
                1000,Hz,              -16.92, dBm,
                1081,Hz,              -17.59, dBm,
                1162,Hz,              -18.43, dBm,
                1243,Hz,              -19.44, dBm,
                1324,Hz,              -20.65, dBm,
                1405,Hz,              -22.08, dBm,
                1486,Hz,              -23.73, dBm,
                1567,Hz,              -25.61, dBm,
                1648,Hz,              -27.70, dBm,
                1729,Hz,              -29.98, dBm,
                1810,Hz,              -32.43, dBm,
                1891,Hz,              -35.00, dBm,
                1972,Hz,              -37.66, dBm,
                2053,Hz,              -40.29, dBm,
                2134,Hz,              -42.82, dBm,
                2215,Hz,              -45.11, dBm,
                2296,Hz,              -47.07, dBm,
                2377,Hz,              -48.65, dBm,
                2458,Hz,              -49.85, dBm,
                2539,Hz,              -50.69, dBm,
                2620,Hz,              -51.19, dBm,
                2701,Hz,              -51.40, dBm,
                2782,Hz,              -51.45, dBm,
                2863,Hz,              -51.46, dBm,
                2944,Hz,              -51.50, dBm,
                3025,Hz,              -51.56, dBm,
                3106,Hz,              -51.63, dBm,
                3187,Hz,              -51.71, dBm,
                3268,Hz,              -51.79, dBm,
                3349,Hz,              -51.88, dBm,
                3430,Hz,              -51.97, dBm,
                3511,Hz,              -52.06, dBm,
                3592,Hz,              -52.14, dBm,
                3673,Hz,              -52.21, dBm,
                3754,Hz,              -52.26, dBm,
                3835,Hz,              -52.31, dBm,
                3916,Hz,              -52.33, dBm,
                3997,Hz,              -52.37, dBm,
                4078,Hz,              -52.44, dBm,
                4159,Hz,              -52.52, dBm,
                4240,Hz,              -52.65, dBm,
                4321,Hz,              -52.80, dBm,
                4402,Hz,              -52.97, dBm,
                4483,Hz,              -53.13, dBm,
                4564,Hz,              -53.27, dBm,
                4645,Hz,              -53.37, dBm,
                4726,Hz,              -53.41, dBm,
                4807,Hz,              -53.40, dBm,
                4888,Hz,              -53.35, dBm,
                4969,Hz,              -53.26, dBm,
                5050,Hz,              -53.15, dBm,
                5131,Hz,              -53.03, dBm,
                5212,Hz,              -52.91, dBm,
                5293,Hz,              -52.81, dBm,
                5374,Hz,              -52.73, dBm,
                5455,Hz,              -52.67, dBm,
                5536,Hz,              -52.66, dBm,
                5617,Hz,              -52.68, dBm,
                5698,Hz,              -52.73, dBm,
                5779,Hz,              -52.78, dBm,
                5860,Hz,              -52.84, dBm,
                5941,Hz,              -52.90, dBm,
                6022,Hz,              -52.98, dBm,
                6103,Hz,              -53.06, dBm,
                6184,Hz,              -53.15, dBm,
                6265,Hz,              -53.24, dBm,
                6346,Hz,              -53.34, dBm,
                6427,Hz,              -53.46, dBm,
                6508,Hz,              -53.58, dBm,
                6589,Hz,              -53.71, dBm,
                6670,Hz,              -53.83, dBm,
                6751,Hz,              -53.96, dBm,
                6832,Hz,              -54.10, dBm,
                6913,Hz,              -54.27, dBm,
                6994,Hz,              -54.46, dBm,
                7075,Hz,              -54.62, dBm,
                7156,Hz,              -54.73, dBm,
                7237,Hz,              -54.80, dBm,
                7318,Hz,              -54.83, dBm,
                7399,Hz,              -54.83, dBm,
                7480,Hz,              -54.82, dBm,
                7561,Hz,              -54.79, dBm,
                7642,Hz,              -54.77, dBm,
                7723,Hz,              -54.77, dBm,
                7804,Hz,              -54.76, dBm,
                7885,Hz,              -54.74, dBm,
                7966,Hz,              -54.71, dBm,
                8047,Hz,              -54.72, dBm,
                8128,Hz,              -54.75, dBm,
                8209,Hz,              -54.79, dBm,
                8290,Hz,              -54.82, dBm,
                8371,Hz,              -54.82, dBm,
                8452,Hz,              -54.81, dBm,
                8533,Hz,              -54.77, dBm,
                8614,Hz,              -54.72, dBm,
                8695,Hz,              -54.67, dBm,
                8776,Hz,              -54.64, dBm,
                8857,Hz,              -54.64, dBm,
                8938,Hz,              -54.67, dBm,
                9019,Hz,              -54.74, dBm,
                9100,Hz,              -54.84, dBm,
                9181,Hz,              -54.97, dBm,
                9262,Hz,              -55.13, dBm,
                9343,Hz,              -55.30, dBm,
                9424,Hz,              -55.46, dBm,
                9505,Hz,              -55.58, dBm,
                9586,Hz,              -55.69, dBm,
                9667,Hz,              -55.80, dBm,
                9748,Hz,              -55.90, dBm,
                9829,Hz,              -55.98, dBm,
                9910,Hz,              -56.05, dBm,
                9991,Hz,              -56.10, dBm,
               10072,Hz,              -56.13, dBm,
               10153,Hz,              -56.15, dBm,
               10234,Hz,              -56.16, dBm,
               10315,Hz,              -56.15, dBm,
               10396,Hz,              -56.16, dBm,
               10477,Hz,              -56.17, dBm,
               10558,Hz,              -56.18, dBm,
