Trace1,
Freq,,Amp,,
                1000,Hz,               -9.54, dBm,
                1498,Hz,               -9.54, dBm,
                1996,Hz,               -9.54, dBm,
                2494,Hz,               -9.54, dBm,
                2992,Hz,               -9.54, dBm,
                3490,Hz,               -9.54, dBm,
                3988,Hz,               -9.54, dBm,
                4486,Hz,               -9.54, dBm,
                4984,Hz,               -9.55, dBm,
                5482,Hz,               -9.58, dBm,
                5980,Hz,               -9.68, dBm,
                6478,Hz,               -9.86, dBm,
                6976,Hz,              -10.21, dBm,
                7474,Hz,              -10.99, dBm,
                7972,Hz,              -11.88, dBm,
                8470,Hz,              -13.12, dBm,
                8968,Hz,              -17.98, dBm,
                9466,Hz,              -48.59, dBm,
                9964,Hz,              -48.56, dBm,
               10462,Hz,              -48.57, dBm,
               10960,Hz,              -48.60, dBm,
               11458,Hz,              -48.56, dBm,
               11956,Hz,              -48.44, dBm,
               12454,Hz,              -48.33, dBm,
               12952,Hz,              -48.24, dBm,
               13450,Hz,              -48.24, dBm,
               13948,Hz,              -48.28, dBm,
               14446,Hz,              -48.30, dBm,
               14944,Hz,              -48.39, dBm,
               15442,Hz,              -48.51, dBm,
               15940,Hz,              -48.62, dBm,
               16438,Hz,              -48.80, dBm,
               16936,Hz,              -48.94, dBm,
               17434,Hz,              -49.09, dBm,
               17932,Hz,              -49.30, dBm,
               18430,Hz,              -49.46, dBm,
               18928,Hz,              -49.59, dBm,
               19426,Hz,              -49.83, dBm,
               19924,Hz,              -50.09, dBm,
               20422,Hz,              -50.32, dBm,
               20920,Hz,              -50.57, dBm,
               21418,Hz,              -50.68, dBm,
               21916,Hz,              -50.70, dBm,
               22414,Hz,              -50.77, dBm,
               22912,Hz,              -50.91, dBm,
               23410,Hz,              -51.11, dBm,
               23908,Hz,              -51.43, dBm,
               24406,Hz,              -51.66, dBm,
               24904,Hz,              -51.83, dBm,
               25402,Hz,              -52.00, dBm,
               25900,Hz,              -52.12, dBm,
               26398,Hz,              -52.26, dBm,
               26896,Hz,              -52.38, dBm,
               27394,Hz,              -52.51, dBm,
               27892,Hz,              -52.81, dBm,
               28390,Hz,              -53.10, dBm,
               28888,Hz,              -53.37, dBm,
               29386,Hz,              -53.70, dBm,
               29884,Hz,              -53.88, dBm,
               30382,Hz,              -53.97, dBm,
               30880,Hz,              -54.05, dBm,
               31378,Hz,              -54.10, dBm,
               31876,Hz,              -54.08, dBm,
               32374,Hz,              -54.04, dBm,
               32872,Hz,              -54.04, dBm,
               33370,Hz,              -54.05, dBm,
               33868,Hz,              -54.17, dBm,
               34366,Hz,              -54.32, dBm,
               34864,Hz,              -54.49, dBm,
               35362,Hz,              -54.78, dBm,
               35860,Hz,              -54.97, dBm,
               36358,Hz,              -55.05, dBm,
               36856,Hz,              -55.07, dBm,
               37354,Hz,              -55.05, dBm,
               37852,Hz,              -55.04, dBm,
               38350,Hz,              -55.15, dBm,
               38848,Hz,              -55.31, dBm,
               39346,Hz,              -55.45, dBm,
               39844,Hz,              -55.59, dBm,
               40342,Hz,              -55.67, dBm,
               40840,Hz,              -55.72, dBm,
               41338,Hz,              -55.83, dBm,
               41836,Hz,              -55.91, dBm,
               42334,Hz,              -55.99, dBm,
               42832,Hz,              -56.19, dBm,
               43330,Hz,              -56.43, dBm,
               43828,Hz,              -56.68, dBm,
               44326,Hz,              -57.06, dBm,
               44824,Hz,              -57.32, dBm,
               45322,Hz,              -57.48, dBm,
               45820,Hz,              -57.63, dBm,
               46318,Hz,              -57.70, dBm,
               46816,Hz,              -57.70, dBm,
               47314,Hz,              -57.70, dBm,
               47812,Hz,              -57.71, dBm,
               48310,Hz,              -57.67, dBm,
               48808,Hz,              -57.59, dBm,
               49306,Hz,              -57.50, dBm,
               49804,Hz,              -57.32, dBm,
               50302,Hz,              -57.13, dBm,
               50800,Hz,              -56.86, dBm,
               51298,Hz,              -56.43, dBm,
               51796,Hz,              -56.05, dBm,
               52294,Hz,              -55.59, dBm,
               52792,Hz,              -54.98, dBm,
               53290,Hz,              -54.50, dBm,
               53788,Hz,              -53.89, dBm,
               54286,Hz,              -52.97, dBm,
               54784,Hz,              -52.19, dBm,
               55282,Hz,              -51.28, dBm,
               55780,Hz,              -50.07, dBm,
               56278,Hz,              -49.20, dBm,
               56776,Hz,              -48.38, dBm,
               57274,Hz,              -47.54, dBm,
               57772,Hz,              -47.17, dBm,
               58270,Hz,              -47.11, dBm,
               58768,Hz,              -47.55, dBm,
               59266,Hz,              -48.29, dBm,
               59764,Hz,              -49.38, dBm,
               60262,Hz,              -51.21, dBm,
               60760,Hz,              -52.78, dBm,
               61258,Hz,              -54.19, dBm,
               61756,Hz,              -55.72, dBm,
               62254,Hz,              -56.47, dBm,
               62752,Hz,              -56.81, dBm,
               63250,Hz,              -56.98, dBm,
               63748,Hz,              -57.03, dBm,
               64246,Hz,              -57.00, dBm,
               64744,Hz,              -56.84, dBm,
               65242,Hz,              -56.65, dBm,
               65740,Hz,              -56.39, dBm,
               66238,Hz,              -56.09, dBm,
               66736,Hz,              -55.86, dBm,
               67234,Hz,              -55.61, dBm,
               67732,Hz,              -55.29, dBm,
               68230,Hz,              -55.13, dBm,
               68728,Hz,              -55.08, dBm,
               69226,Hz,              -55.34, dBm,
               69724,Hz,              -55.80, dBm,
               70222,Hz,              -56.52, dBm,
               70720,Hz,              -57.78, dBm,
               71218,Hz,              -58.88, dBm,
               71716,Hz,              -59.89, dBm,
               72214,Hz,              -61.03, dBm,
