Trace1,
Freq,,Amp,,
                1000,Hz,              -17.65, dBm,
                1081,Hz,              -18.03, dBm,
                1162,Hz,              -18.46, dBm,
                1243,Hz,              -18.91, dBm,
                1324,Hz,              -19.38, dBm,
                1405,Hz,              -19.90, dBm,
                1486,Hz,              -20.51, dBm,
                1567,Hz,              -21.15, dBm,
                1648,Hz,              -21.81, dBm,
                1729,Hz,              -22.50, dBm,
                1810,Hz,              -23.28, dBm,
                1891,Hz,              -24.15, dBm,
                1972,Hz,              -25.05, dBm,
                2053,Hz,              -25.97, dBm,
                2134,Hz,              -26.96, dBm,
                2215,Hz,              -28.06, dBm,
                2296,Hz,              -29.25, dBm,
                2377,Hz,              -30.48, dBm,
                2458,Hz,              -31.69, dBm,
                2539,Hz,              -33.00, dBm,
                2620,Hz,              -34.46, dBm,
                2701,Hz,              -35.95, dBm,
                2782,Hz,              -37.44, dBm,
                2863,Hz,              -38.92, dBm,
                2944,Hz,              -40.48, dBm,
                3025,Hz,              -42.09, dBm,
                3106,Hz,              -43.67, dBm,
                3187,Hz,              -45.17, dBm,
                3268,Hz,              -46.55, dBm,
                3349,Hz,              -47.92, dBm,
                3430,Hz,              -49.16, dBm,
                3511,Hz,              -50.21, dBm,
                3592,Hz,              -51.09, dBm,
                3673,Hz,              -51.82, dBm,
                3754,Hz,              -52.40, dBm,
                3835,Hz,              -52.82, dBm,
                3916,Hz,              -53.13, dBm,
                3997,Hz,              -53.38, dBm,
                4078,Hz,              -53.60, dBm,
                4159,Hz,              -53.81, dBm,
                4240,Hz,              -53.99, dBm,
                4321,Hz,              -54.14, dBm,
                4402,Hz,              -54.30, dBm,
                4483,Hz,              -54.47, dBm,
                4564,Hz,              -54.64, dBm,
                4645,Hz,              -54.80, dBm,
                4726,Hz,              -54.95, dBm,
                4807,Hz,              -55.09, dBm,
                4888,Hz,              -55.26, dBm,
                4969,Hz,              -55.42, dBm,
                5050,Hz,              -55.56, dBm,
                5131,Hz,              -55.69, dBm,
                5212,Hz,              -55.84, dBm,
                5293,Hz,              -55.99, dBm,
                5374,Hz,              -56.13, dBm,
                5455,Hz,              -56.25, dBm,
                5536,Hz,              -56.37, dBm,
                5617,Hz,              -56.49, dBm,
                5698,Hz,              -56.62, dBm,
                5779,Hz,              -56.74, dBm,
                5860,Hz,              -56.84, dBm,
                5941,Hz,              -56.95, dBm,
                6022,Hz,              -57.08, dBm,
                6103,Hz,              -57.20, dBm,
                6184,Hz,              -57.30, dBm,
                6265,Hz,              -57.39, dBm,
                6346,Hz,              -57.49, dBm,
                6427,Hz,              -57.59, dBm,
                6508,Hz,              -57.68, dBm,
                6589,Hz,              -57.76, dBm,
                6670,Hz,              -57.83, dBm,
                6751,Hz,              -57.89, dBm,
                6832,Hz,              -57.96, dBm,
                6913,Hz,              -58.04, dBm,
                6994,Hz,              -58.11, dBm,
                7075,Hz,              -58.18, dBm,
                7156,Hz,              -58.25, dBm,
                7237,Hz,              -58.34, dBm,
                7318,Hz,              -58.42, dBm,
                7399,Hz,              -58.50, dBm,
                7480,Hz,              -58.58, dBm,
                7561,Hz,              -58.66, dBm,
                7642,Hz,              -58.74, dBm,
                7723,Hz,              -58.83, dBm,
                7804,Hz,              -58.91, dBm,
                7885,Hz,              -58.99, dBm,
                7966,Hz,              -59.07, dBm,
                8047,Hz,              -59.16, dBm,
                8128,Hz,              -59.24, dBm,
                8209,Hz,              -59.33, dBm,
