Trace1,
Freq,,Amp,,
                1000,Hz,              -18.65, dBm,
                1081,Hz,              -18.65, dBm,
                1162,Hz,              -18.65, dBm,
                1243,Hz,              -18.65, dBm,
                1324,Hz,              -18.65, dBm,
                1405,Hz,              -18.65, dBm,
                1486,Hz,              -18.65, dBm,
                1567,Hz,              -18.65, dBm,
                1648,Hz,              -18.64, dBm,
                1729,Hz,              -18.63, dBm,
                1810,Hz,              -18.62, dBm,
                1891,Hz,              -18.61, dBm,
                1972,Hz,              -18.60, dBm,
                2053,Hz,              -18.61, dBm,
                2134,Hz,              -18.66, dBm,
                2215,Hz,              -18.77, dBm,
                2296,Hz,              -18.96, dBm,
                2377,Hz,              -19.24, dBm,
                2458,Hz,              -19.64, dBm,
                2539,Hz,              -20.17, dBm,
                2620,Hz,              -20.84, dBm,
                2701,Hz,              -21.68, dBm,
                2782,Hz,              -22.69, dBm,
                2863,Hz,              -23.91, dBm,
                2944,Hz,              -25.33, dBm,
                3025,Hz,              -26.97, dBm,
                3106,Hz,              -28.84, dBm,
                3187,Hz,              -30.91, dBm,
                3268,Hz,              -33.19, dBm,
                3349,Hz,              -35.65, dBm,
                3430,Hz,              -38.21, dBm,
                3511,Hz,              -40.83, dBm,
                3592,Hz,              -43.45, dBm,
                3673,Hz,              -45.95, dBm,
                3754,Hz,              -48.23, dBm,
                3835,Hz,              -50.19, dBm,
                3916,Hz,              -51.81, dBm,
                3997,Hz,              -53.04, dBm,
                4078,Hz,              -53.91, dBm,
                4159,Hz,              -54.41, dBm,
                4240,Hz,              -54.67, dBm,
                4321,Hz,              -54.85, dBm,
                4402,Hz,              -55.00, dBm,
                4483,Hz,              -55.11, dBm,
                4564,Hz,              -55.16, dBm,
                4645,Hz,              -55.21, dBm,
                4726,Hz,              -55.24, dBm,
                4807,Hz,              -55.27, dBm,
                4888,Hz,              -55.30, dBm,
                4969,Hz,              -55.34, dBm,
                5050,Hz,              -55.40, dBm,
                5131,Hz,              -55.49, dBm,
                5212,Hz,              -55.58, dBm,
                5293,Hz,              -55.67, dBm,
                5374,Hz,              -55.75, dBm,
                5455,Hz,              -55.84, dBm,
                5536,Hz,              -55.94, dBm,
                5617,Hz,              -56.05, dBm,
                5698,Hz,              -56.17, dBm,
                5779,Hz,              -56.29, dBm,
                5860,Hz,              -56.41, dBm,
                5941,Hz,              -56.52, dBm,
                6022,Hz,              -56.63, dBm,
                6103,Hz,              -56.74, dBm,
                6184,Hz,              -56.86, dBm,
                6265,Hz,              -56.99, dBm,
                6346,Hz,              -57.10, dBm,
                6427,Hz,              -57.21, dBm,
                6508,Hz,              -57.30, dBm,
                6589,Hz,              -57.38, dBm,
                6670,Hz,              -57.43, dBm,
                6751,Hz,              -57.42, dBm,
                6832,Hz,              -57.39, dBm,
                6913,Hz,              -57.31, dBm,
                6994,Hz,              -57.22, dBm,
                7075,Hz,              -57.15, dBm,
                7156,Hz,              -57.08, dBm,
                7237,Hz,              -57.02, dBm,
                7318,Hz,              -56.99, dBm,
                7399,Hz,              -56.98, dBm,
                7480,Hz,              -56.99, dBm,
                7561,Hz,              -57.04, dBm,
                7642,Hz,              -57.13, dBm,
                7723,Hz,              -57.26, dBm,
                7804,Hz,              -57.43, dBm,
                7885,Hz,              -57.61, dBm,
                7966,Hz,              -57.78, dBm,
                8047,Hz,              -57.96, dBm,
                8128,Hz,              -58.15, dBm,
                8209,Hz,              -58.36, dBm,
                8290,Hz,              -58.60, dBm,
                8371,Hz,              -58.83, dBm,
                8452,Hz,              -59.05, dBm,
                8533,Hz,              -59.23, dBm,
                8614,Hz,              -59.38, dBm,
                8695,Hz,              -59.47, dBm,
                8776,Hz,              -59.53, dBm,
                8857,Hz,              -59.58, dBm,
                8938,Hz,              -62.88, dBm,
                9019,Hz,              -62.85, dBm,
                9100,Hz,              -62.82, dBm,
                9181,Hz,              -62.79, dBm,
                9262,Hz,              -62.77, dBm,
                9343,Hz,              -62.77, dBm,
                9424,Hz,              -62.75, dBm,
                9505,Hz,              -62.70, dBm,
                9586,Hz,              -62.63, dBm,
                9667,Hz,              -62.54, dBm,
                9748,Hz,              -62.42, dBm,
                9829,Hz,              -62.28, dBm,
                9910,Hz,              -62.12, dBm,
                9991,Hz,              -61.97, dBm,
               10072,Hz,              -61.84, dBm,
               10153,Hz,              -61.75, dBm,
               10234,Hz,              -61.70, dBm,
               10315,Hz,              -61.72, dBm,
               10396,Hz,              -61.78, dBm,
               10477,Hz,              -61.89, dBm,
               10558,Hz,              -62.03, dBm,
               10639,Hz,              -62.19, dBm,
               10720,Hz,              -62.37, dBm,
               10801,Hz,              -62.54, dBm,
               10882,Hz,              -62.71, dBm,
               10963,Hz,              -62.86, dBm,
               11044,Hz,              -62.99, dBm,
               11125,Hz,              -63.10, dBm,
               11206,Hz,              -63.18, dBm,
               11287,Hz,              -63.24, dBm,
               11368,Hz,              -63.28, dBm,
               11449,Hz,              -63.31, dBm,
               11530,Hz,              -63.36, dBm,
               11611,Hz,              -63.41, dBm,
               11692,Hz,              -63.49, dBm,
               11773,Hz,              -63.58, dBm,
               11854,Hz,              -63.68, dBm,
               11935,Hz,              -63.78, dBm,
               12016,Hz,              -63.90, dBm,
               12097,Hz,              -64.02, dBm,
               12178,Hz,              -64.10, dBm,
               12259,Hz,              -64.13, dBm,
               12340,Hz,              -64.11, dBm,
               12421,Hz,              -64.02, dBm,
               12502,Hz,              -63.87, dBm,
               12583,Hz,              -63.65, dBm,
               12664,Hz,              -63.35, dBm,
               12745,Hz,              -62.98, dBm,
               12826,Hz,              -62.53, dBm,
               12907,Hz,              -62.02, dBm,
               12988,Hz,              -61.47, dBm,
               13069,Hz,              -60.92, dBm,
               13150,Hz,              -60.40, dBm,
               13231,Hz,              -59.90, dBm,
               13312,Hz,              -59.47, dBm,
               13393,Hz,              -59.10, dBm,
               13474,Hz,              -58.81, dBm,
               13555,Hz,              -58.61, dBm,
               13636,Hz,              -58.50, dBm,
               13717,Hz,              -58.48, dBm,
               13798,Hz,              -58.57, dBm,
               13879,Hz,              -58.75, dBm,
               13960,Hz,              -59.04, dBm,
               14041,Hz,              -59.42, dBm,
               14122,Hz,              -59.89, dBm,
               14203,Hz,              -60.44, dBm,
               14284,Hz,              -61.05, dBm,
               14365,Hz,              -61.69, dBm,
               14446,Hz,              -62.36, dBm,
               14527,Hz,              -63.04, dBm,
               14608,Hz,              -63.71, dBm,
               14689,Hz,              -64.33, dBm,
               14770,Hz,              -64.88, dBm,
               14851,Hz,              -65.33, dBm,
               14932,Hz,              -65.68, dBm,
               15013,Hz,              -65.91, dBm,
               15094,Hz,              -66.03, dBm,
               15175,Hz,              -66.05, dBm,
               15256,Hz,              -66.01, dBm,
               15337,Hz,              -65.95, dBm,
               15418,Hz,              -65.89, dBm,
               15499,Hz,              -65.85, dBm,
               15580,Hz,              -65.82, dBm,
               15661,Hz,              -65.84, dBm,
               15742,Hz,              -65.92, dBm,
               15823,Hz,              -66.03, dBm,
