Trace1,
Freq,,Amp,,
                1000,Hz,              -57.93, dBm,
                1831,Hz,              -58.87, dBm,
                2662,Hz,              -59.93, dBm,
                3493,Hz,              -59.96, dBm,
                4324,Hz,              -61.72, dBm,
                5155,Hz,              -62.31, dBm,
                5986,Hz,              -62.87, dBm,
                6817,Hz,              -63.63, dBm,
                7648,Hz,              -64.80, dBm,
                8479,Hz,              -65.63, dBm,
                9310,Hz,              -65.78, dBm,
               10141,Hz,              -66.78, dBm,
               10972,Hz,              -67.04, dBm,
               11803,Hz,              -66.40, dBm,
               12634,Hz,              -62.75, dBm,
               13465,Hz,              -56.45, dBm,
               14296,Hz,              -50.88, dBm,
               15127,Hz,              -58.21, dBm,
               15958,Hz,              -62.78, dBm,
               16789,Hz,              -65.24, dBm,
               17620,Hz,              -66.92, dBm,
               18451,Hz,              -68.64, dBm,
               19282,Hz,              -69.51, dBm,
               20113,Hz,              -70.45, dBm,
               20944,Hz,              -71.14, dBm,
               21775,Hz,              -71.22, dBm,
               22606,Hz,              -71.95, dBm,
               23437,Hz,              -71.56, dBm,
               24268,Hz,              -71.44, dBm,
               25099,Hz,              -72.68, dBm,
               25930,Hz,              -72.82, dBm,
               26761,Hz,              -73.13, dBm,
               27592,Hz,              -73.94, dBm,
               28423,Hz,              -73.42, dBm,
               29254,Hz,              -73.77, dBm,
               30085,Hz,              -74.35, dBm,
               30916,Hz,              -74.21, dBm,
               31747,Hz,              -74.20, dBm,
               32578,Hz,              -73.84, dBm,
               33409,Hz,              -74.35, dBm,
               34240,Hz,              -74.52, dBm,
               35071,Hz,              -74.54, dBm,
               35902,Hz,              -74.47, dBm,
               36733,Hz,              -74.75, dBm,
               37564,Hz,              -75.45, dBm,
               38395,Hz,              -75.01, dBm,
               39226,Hz,              -75.63, dBm,
               40057,Hz,              -75.13, dBm,
               40888,Hz,              -75.17, dBm,
               41719,Hz,              -74.75, dBm,
               42550,Hz,              -74.51, dBm,
               43381,Hz,              -75.13, dBm,
               44212,Hz,              -75.21, dBm,
               45043,Hz,              -75.38, dBm,
               45874,Hz,              -75.29, dBm,
               46705,Hz,              -75.14, dBm,
               47536,Hz,              -75.52, dBm,
               48367,Hz,              -75.81, dBm,
               49198,Hz,              -76.05, dBm,
               50029,Hz,              -75.14, dBm,
               50860,Hz,              -75.71, dBm,
               51691,Hz,              -75.93, dBm,
               52522,Hz,              -75.02, dBm,
               53353,Hz,              -74.59, dBm,
               54184,Hz,              -74.85, dBm,
               55015,Hz,              -74.92, dBm,
               55846,Hz,              -74.62, dBm,
               56677,Hz,              -73.70, dBm,
               57508,Hz,              -73.38, dBm,
               58339,Hz,              -72.61, dBm,
               59170,Hz,              -71.56, dBm,
               60001,Hz,              -69.65, dBm,
               60832,Hz,              -65.03, dBm,
               61663,Hz,              -63.88, dBm,
               62494,Hz,              -68.21, dBm,
               63325,Hz,              -73.22, dBm,
               64156,Hz,              -75.74, dBm,
               64987,Hz,              -77.24, dBm,
               65818,Hz,              -77.58, dBm,
               66649,Hz,              -78.12, dBm,
               67480,Hz,              -78.49, dBm,
               68311,Hz,              -78.85, dBm,
               69142,Hz,              -78.99, dBm,
               69973,Hz,              -78.87, dBm,
               70804,Hz,              -78.25, dBm,
               71635,Hz,              -78.43, dBm,
               72466,Hz,              -77.93, dBm,
               73297,Hz,              -78.78, dBm,
               74128,Hz,              -77.84, dBm,
               74959,Hz,              -78.13, dBm,
               75790,Hz,              -78.41, dBm,
               76621,Hz,              -77.95, dBm,
               77452,Hz,              -77.77, dBm,
               78283,Hz,              -77.08, dBm,
               79114,Hz,              -73.66, dBm,
               79945,Hz,              -73.08, dBm,
               80776,Hz,              -72.62, dBm,
               81607,Hz,              -72.45, dBm,
               82438,Hz,              -72.20, dBm,
               83269,Hz,              -70.86, dBm,
               84100,Hz,              -68.95, dBm,
               84931,Hz,              -66.55, dBm,
               85762,Hz,              -63.38, dBm,
               86593,Hz,              -57.48, dBm,
               87424,Hz,              -55.70, dBm,
               88255,Hz,              -61.57, dBm,
               89086,Hz,              -64.92, dBm,
               89917,Hz,              -67.55, dBm,
               90748,Hz,              -70.14, dBm,
               91579,Hz,              -72.20, dBm,
               92410,Hz,              -73.74, dBm,
               93241,Hz,              -74.62, dBm,
               94072,Hz,              -75.04, dBm,
               94903,Hz,              -76.49, dBm,
               95734,Hz,              -76.77, dBm,
               96565,Hz,              -76.68, dBm,
               97396,Hz,              -77.87, dBm,
               98227,Hz,              -77.20, dBm,
               99058,Hz,              -77.93, dBm,
               99889,Hz,              -79.31, dBm,
              100720,Hz,              -78.16, dBm,
              101551,Hz,              -79.65, dBm,
              102382,Hz,              -79.39, dBm,
              103213,Hz,              -80.00, dBm,
              104044,Hz,              -79.38, dBm,
              104875,Hz,              -79.91, dBm,
              105706,Hz,              -80.11, dBm,
              106537,Hz,              -79.92, dBm,
              107368,Hz,              -80.03, dBm,
              108199,Hz,              -80.89, dBm,
              109030,Hz,              -80.37, dBm,
              109861,Hz,              -80.23, dBm,
              110692,Hz,              -79.79, dBm,
              111523,Hz,              -80.71, dBm,
              112354,Hz,              -81.24, dBm,
              113185,Hz,              -80.53, dBm,
              114016,Hz,              -80.33, dBm,
              114847,Hz,              -81.15, dBm,
              115678,Hz,              -80.94, dBm,
              116509,Hz,              -81.29, dBm,
              117340,Hz,              -81.57, dBm,
              118171,Hz,              -81.56, dBm,
              119002,Hz,              -81.28, dBm,
              119833,Hz,              -82.23, dBm,
              120664,Hz,              -82.00, dBm,
              121495,Hz,              -82.10, dBm,
              122326,Hz,              -81.65, dBm,
              123157,Hz,              -81.81, dBm,
              123988,Hz,              -82.06, dBm,
              124819,Hz,              -82.11, dBm,
              125650,Hz,              -82.54, dBm,
              126481,Hz,              -81.13, dBm,
              127312,Hz,              -80.19, dBm,
              128143,Hz,              -80.24, dBm,
              128974,Hz,              -82.15, dBm,
              129805,Hz,              -82.02, dBm,
              130636,Hz,              -81.80, dBm,
              131467,Hz,              -82.06, dBm,
              132298,Hz,              -82.49, dBm,
              133129,Hz,              -82.87, dBm,
              133960,Hz,              -82.66, dBm,
              134791,Hz,              -83.12, dBm,
              135622,Hz,              -82.28, dBm,
              136453,Hz,              -83.75, dBm,
              137284,Hz,              -83.42, dBm,
              138115,Hz,              -82.39, dBm,
              138946,Hz,              -82.60, dBm,
              139777,Hz,              -82.59, dBm,
              140608,Hz,              -83.72, dBm,
              141439,Hz,              -83.36, dBm,
              142270,Hz,              -83.20, dBm,
              143101,Hz,              -82.76, dBm,
              143932,Hz,              -83.07, dBm,
              144763,Hz,              -83.11, dBm,
              145594,Hz,              -83.37, dBm,
              146425,Hz,              -82.80, dBm,
              147256,Hz,              -82.70, dBm,
              148087,Hz,              -83.52, dBm,
              148918,Hz,              -83.21, dBm,
              149749,Hz,              -83.91, dBm,
              150580,Hz,              -83.55, dBm,
              151411,Hz,              -83.05, dBm,
              152242,Hz,              -83.69, dBm,
              153073,Hz,              -83.62, dBm,
              153904,Hz,              -83.57, dBm,
              154735,Hz,              -82.78, dBm,
              155566,Hz,              -83.29, dBm,
              156397,Hz,              -83.07, dBm,
              157228,Hz,              -83.55, dBm,
              158059,Hz,              -82.84, dBm,
              158890,Hz,              -83.12, dBm,
              159721,Hz,              -83.79, dBm,
              160552,Hz,              -83.44, dBm,
              161383,Hz,              -83.30, dBm,
              162214,Hz,              -82.85, dBm,
              163045,Hz,              -83.56, dBm,
              163876,Hz,              -82.87, dBm,
              164707,Hz,              -82.70, dBm,
              165538,Hz,              -83.11, dBm,
              166369,Hz,              -83.08, dBm,
              167200,Hz,              -82.76, dBm,
              168031,Hz,              -82.96, dBm,
              168862,Hz,              -82.78, dBm,
              169693,Hz,              -82.64, dBm,
              170524,Hz,              -82.42, dBm,
              171355,Hz,              -82.32, dBm,
              172186,Hz,              -82.35, dBm,
              173017,Hz,              -82.10, dBm,
              173848,Hz,              -81.68, dBm,
              174679,Hz,              -81.79, dBm,
              175510,Hz,              -82.21, dBm,
              176341,Hz,              -81.74, dBm,
              177172,Hz,              -80.13, dBm,
              178003,Hz,              -80.30, dBm,
              178834,Hz,              -79.33, dBm,
              179665,Hz,              -79.57, dBm,
              180496,Hz,              -78.85, dBm,
              181327,Hz,              -77.14, dBm,
              182158,Hz,              -77.65, dBm,
              182989,Hz,              -76.42, dBm,
              183820,Hz,              -75.09, dBm,
              184651,Hz,              -74.37, dBm,
              185482,Hz,              -72.97, dBm,
              186313,Hz,              -71.12, dBm,
              187144,Hz,              -69.36, dBm,
              187975,Hz,              -67.17, dBm,
              188806,Hz,              -67.16, dBm,
              189637,Hz,              -68.54, dBm,
              190468,Hz,              -67.93, dBm,
              191299,Hz,              -69.42, dBm,
              192130,Hz,              -70.83, dBm,
              192961,Hz,              -72.83, dBm,
