Trace1,
Freq,,Amp,,
                1000,Hz,              -57.61, dBm,
                1831,Hz,              -58.79, dBm,
                2662,Hz,              -60.07, dBm,
                3493,Hz,              -60.16, dBm,
                4324,Hz,              -61.23, dBm,
                5155,Hz,              -61.11, dBm,
                5986,Hz,              -62.22, dBm,
                6817,Hz,              -63.41, dBm,
                7648,Hz,              -63.96, dBm,
                8479,Hz,              -65.53, dBm,
                9310,Hz,              -66.34, dBm,
               10141,Hz,              -68.10, dBm,
               10972,Hz,              -68.55, dBm,
               11803,Hz,              -69.19, dBm,
               12634,Hz,              -68.85, dBm,
               13465,Hz,              -68.78, dBm,
               14296,Hz,              -69.59, dBm,
               15127,Hz,              -68.80, dBm,
               15958,Hz,              -69.71, dBm,
               16789,Hz,              -70.50, dBm,
               17620,Hz,              -71.02, dBm,
               18451,Hz,              -70.89, dBm,
               19282,Hz,              -71.16, dBm,
               20113,Hz,              -71.45, dBm,
               20944,Hz,              -71.54, dBm,
               21775,Hz,              -72.01, dBm,
               22606,Hz,              -72.62, dBm,
               23437,Hz,              -72.79, dBm,
               24268,Hz,              -72.63, dBm,
               25099,Hz,              -73.36, dBm,
               25930,Hz,              -73.77, dBm,
               26761,Hz,              -73.54, dBm,
               27592,Hz,              -73.55, dBm,
               28423,Hz,              -74.38, dBm,
               29254,Hz,              -73.85, dBm,
               30085,Hz,              -73.08, dBm,
               30916,Hz,              -73.64, dBm,
               31747,Hz,              -73.19, dBm,
               32578,Hz,              -73.63, dBm,
               33409,Hz,              -73.74, dBm,
               34240,Hz,              -74.46, dBm,
               35071,Hz,              -74.31, dBm,
               35902,Hz,              -74.13, dBm,
               36733,Hz,              -74.64, dBm,
               37564,Hz,              -75.27, dBm,
               38395,Hz,              -75.16, dBm,
               39226,Hz,              -75.14, dBm,
               40057,Hz,              -74.05, dBm,
               40888,Hz,              -75.48, dBm,
               41719,Hz,              -75.55, dBm,
               42550,Hz,              -75.48, dBm,
               43381,Hz,              -75.37, dBm,
               44212,Hz,              -75.47, dBm,
               45043,Hz,              -75.70, dBm,
               45874,Hz,              -75.40, dBm,
               46705,Hz,              -75.65, dBm,
               47536,Hz,              -75.87, dBm,
               48367,Hz,              -75.84, dBm,
               49198,Hz,              -76.30, dBm,
               50029,Hz,              -76.47, dBm,
               50860,Hz,              -76.25, dBm,
               51691,Hz,              -76.70, dBm,
               52522,Hz,              -76.45, dBm,
               53353,Hz,              -76.82, dBm,
               54184,Hz,              -76.44, dBm,
               55015,Hz,              -76.73, dBm,
               55846,Hz,              -76.30, dBm,
               56677,Hz,              -76.46, dBm,
               57508,Hz,              -75.81, dBm,
               58339,Hz,              -75.96, dBm,
               59170,Hz,              -74.79, dBm,
               60001,Hz,              -73.68, dBm,
               60832,Hz,              -71.41, dBm,
               61663,Hz,              -70.82, dBm,
               62494,Hz,              -74.37, dBm,
               63325,Hz,              -77.13, dBm,
               64156,Hz,              -79.44, dBm,
               64987,Hz,              -80.42, dBm,
               65818,Hz,              -80.17, dBm,
               66649,Hz,              -80.82, dBm,
               67480,Hz,              -80.80, dBm,
               68311,Hz,              -80.70, dBm,
               69142,Hz,              -80.65, dBm,
               69973,Hz,              -80.68, dBm,
               70804,Hz,              -80.37, dBm,
               71635,Hz,              -80.61, dBm,
               72466,Hz,              -79.47, dBm,
               73297,Hz,              -80.33, dBm,
               74128,Hz,              -80.75, dBm,
               74959,Hz,              -81.31, dBm,
               75790,Hz,              -81.26, dBm,
               76621,Hz,              -80.82, dBm,
               77452,Hz,              -81.13, dBm,
               78283,Hz,              -81.60, dBm,
               79114,Hz,              -80.68, dBm,
               79945,Hz,              -80.69, dBm,
               80776,Hz,              -80.64, dBm,
               81607,Hz,              -81.18, dBm,
               82438,Hz,              -81.24, dBm,
               83269,Hz,              -81.55, dBm,
               84100,Hz,              -81.36, dBm,
               84931,Hz,              -81.28, dBm,
               85762,Hz,              -81.54, dBm,
               86593,Hz,              -81.74, dBm,
               87424,Hz,              -81.58, dBm,
               88255,Hz,              -81.64, dBm,
               89086,Hz,              -82.15, dBm,
               89917,Hz,              -81.52, dBm,
               90748,Hz,              -82.09, dBm,
               91579,Hz,              -82.51, dBm,
               92410,Hz,              -82.53, dBm,
