Trace1,
Freq,,Amp,,
                1000,Hz,              -58.21, dBm,
                1831,Hz,              -58.63, dBm,
                2662,Hz,              -60.02, dBm,
                3493,Hz,              -60.20, dBm,
                4324,Hz,              -61.90, dBm,
                5155,Hz,              -62.67, dBm,
                5986,Hz,              -62.41, dBm,
                6817,Hz,              -63.68, dBm,
                7648,Hz,              -64.37, dBm,
                8479,Hz,              -65.01, dBm,
                9310,Hz,              -65.64, dBm,
               10141,Hz,              -66.51, dBm,
               10972,Hz,              -67.93, dBm,
               11803,Hz,              -68.29, dBm,
               12634,Hz,              -68.52, dBm,
               13465,Hz,              -68.47, dBm,
               14296,Hz,              -69.16, dBm,
               15127,Hz,              -68.43, dBm,
               15958,Hz,              -68.39, dBm,
               16789,Hz,              -68.67, dBm,
               17620,Hz,              -69.39, dBm,
               18451,Hz,              -69.45, dBm,
               19282,Hz,              -69.88, dBm,
               20113,Hz,              -69.94, dBm,
               20944,Hz,              -69.71, dBm,
               21775,Hz,              -69.40, dBm,
               22606,Hz,              -70.23, dBm,
               23437,Hz,              -69.53, dBm,
               24268,Hz,              -69.47, dBm,
               25099,Hz,              -69.98, dBm,
               25930,Hz,              -70.33, dBm,
               26761,Hz,              -69.45, dBm,
               27592,Hz,              -69.17, dBm,
               28423,Hz,              -69.61, dBm,
               29254,Hz,              -68.91, dBm,
               30085,Hz,              -68.59, dBm,
               30916,Hz,              -69.23, dBm,
               31747,Hz,              -68.37, dBm,
               32578,Hz,              -68.64, dBm,
               33409,Hz,              -68.09, dBm,
               34240,Hz,              -68.15, dBm,
               35071,Hz,              -67.71, dBm,
               35902,Hz,              -67.04, dBm,
               36733,Hz,              -66.35, dBm,
               37564,Hz,              -66.59, dBm,
               38395,Hz,              -66.09, dBm,
               39226,Hz,              -65.91, dBm,
               40057,Hz,              -65.60, dBm,
               40888,Hz,              -64.70, dBm,
               41719,Hz,              -64.10, dBm,
               42550,Hz,              -63.37, dBm,
               43381,Hz,              -62.68, dBm,
               44212,Hz,              -61.32, dBm,
               45043,Hz,              -60.48, dBm,
               45874,Hz,              -58.60, dBm,
               46705,Hz,              -57.01, dBm,
               47536,Hz,              -54.81, dBm,
               48367,Hz,              -52.89, dBm,
               49198,Hz,              -49.04, dBm,
               50029,Hz,              -43.43, dBm,
               50860,Hz,              -41.46, dBm,
               51691,Hz,              -45.95, dBm,
               52522,Hz,              -50.70, dBm,
               53353,Hz,              -53.15, dBm,
               54184,Hz,              -54.90, dBm,
               55015,Hz,              -56.49, dBm,
               55846,Hz,              -57.75, dBm,
               56677,Hz,              -58.18, dBm,
               57508,Hz,              -58.54, dBm,
               58339,Hz,              -58.48, dBm,
               59170,Hz,              -57.66, dBm,
               60001,Hz,              -55.93, dBm,
               60832,Hz,              -52.85, dBm,
               61663,Hz,              -51.34, dBm,
               62494,Hz,              -55.84, dBm,
               63325,Hz,              -63.21, dBm,
               64156,Hz,              -68.94, dBm,
               64987,Hz,              -73.02, dBm,
               65818,Hz,              -75.27, dBm,
               66649,Hz,              -75.86, dBm,
               67480,Hz,              -76.90, dBm,
               68311,Hz,              -76.83, dBm,
               69142,Hz,              -77.25, dBm,
               69973,Hz,              -77.18, dBm,
               70804,Hz,              -76.46, dBm,
               71635,Hz,              -76.71, dBm,
               72466,Hz,              -77.00, dBm,
               73297,Hz,              -76.61, dBm,
               74128,Hz,              -76.39, dBm,
               74959,Hz,              -76.24, dBm,
               75790,Hz,              -76.77, dBm,
               76621,Hz,              -76.86, dBm,
               77452,Hz,              -77.04, dBm,
               78283,Hz,              -76.95, dBm,
               79114,Hz,              -75.12, dBm,
               79945,Hz,              -74.87, dBm,
               80776,Hz,              -76.76, dBm,
               81607,Hz,              -76.25, dBm,
               82438,Hz,              -77.10, dBm,
               83269,Hz,              -76.68, dBm,
               84100,Hz,              -76.79, dBm,
               84931,Hz,              -77.18, dBm,
               85762,Hz,              -77.80, dBm,
               86593,Hz,              -77.10, dBm,
               87424,Hz,              -77.77, dBm,
               88255,Hz,              -77.58, dBm,
               89086,Hz,              -76.99, dBm,
               89917,Hz,              -77.95, dBm,
               90748,Hz,              -78.12, dBm,
               91579,Hz,              -77.91, dBm,
               92410,Hz,              -77.93, dBm,
               93241,Hz,              -77.75, dBm,
               94072,Hz,              -78.15, dBm,
               94903,Hz,              -78.26, dBm,
               95734,Hz,              -78.31, dBm,
               96565,Hz,              -77.47, dBm,
               97396,Hz,              -78.45, dBm,
               98227,Hz,              -78.71, dBm,
               99058,Hz,              -78.69, dBm,
               99889,Hz,              -78.23, dBm,
              100720,Hz,              -78.87, dBm,
              101551,Hz,              -78.33, dBm,
              102382,Hz,              -78.13, dBm,
              103213,Hz,              -78.01, dBm,
              104044,Hz,              -78.67, dBm,
              104875,Hz,              -79.03, dBm,
              105706,Hz,              -79.15, dBm,
              106537,Hz,              -78.88, dBm,
              107368,Hz,              -79.55, dBm,
              108199,Hz,              -79.09, dBm,
              109030,Hz,              -79.31, dBm,
              109861,Hz,              -78.98, dBm,
              110692,Hz,              -79.23, dBm,
              111523,Hz,              -78.74, dBm,
              112354,Hz,              -79.26, dBm,
              113185,Hz,              -78.41, dBm,
              114016,Hz,              -78.90, dBm,
              114847,Hz,              -79.13, dBm,
              115678,Hz,              -79.94, dBm,
              116509,Hz,              -78.75, dBm,
              117340,Hz,              -79.72, dBm,
              118171,Hz,              -79.10, dBm,
              119002,Hz,              -79.46, dBm,
              119833,Hz,              -80.27, dBm,
              120664,Hz,              -79.75, dBm,
              121495,Hz,              -79.12, dBm,
              122326,Hz,              -79.73, dBm,
              123157,Hz,              -80.14, dBm,
              123988,Hz,              -80.43, dBm,
              124819,Hz,              -80.41, dBm,
              125650,Hz,              -80.38, dBm,
              126481,Hz,              -80.54, dBm,
              127312,Hz,              -78.60, dBm,
              128143,Hz,              -78.29, dBm,
              128974,Hz,              -79.21, dBm,
              129805,Hz,              -79.86, dBm,
              130636,Hz,              -80.87, dBm,
              131467,Hz,              -79.53, dBm,
              132298,Hz,              -80.52, dBm,
              133129,Hz,              -80.68, dBm,
              133960,Hz,              -80.69, dBm,
              134791,Hz,              -80.00, dBm,
              135622,Hz,              -79.88, dBm,
              136453,Hz,              -80.29, dBm,
              137284,Hz,              -80.08, dBm,
              138115,Hz,              -80.29, dBm,
              138946,Hz,              -80.10, dBm,
              139777,Hz,              -80.31, dBm,
              140608,Hz,              -80.63, dBm,
              141439,Hz,              -80.68, dBm,
              142270,Hz,              -80.18, dBm,
              143101,Hz,              -79.92, dBm,
              143932,Hz,              -80.43, dBm,
              144763,Hz,              -80.81, dBm,
              145594,Hz,              -80.54, dBm,
              146425,Hz,              -80.96, dBm,
              147256,Hz,              -80.02, dBm,
              148087,Hz,              -80.70, dBm,
              148918,Hz,              -79.89, dBm,
              149749,Hz,              -80.96, dBm,
              150580,Hz,              -80.44, dBm,
              151411,Hz,              -81.04, dBm,
              152242,Hz,              -81.61, dBm,
              153073,Hz,              -80.80, dBm,
              153904,Hz,              -80.75, dBm,
              154735,Hz,              -80.19, dBm,
              155566,Hz,              -80.68, dBm,
