Trace1,
Freq,,Amp,,
                1000,Hz,              -57.09, dBm,
                1831,Hz,              -58.11, dBm,
                2662,Hz,              -60.22, dBm,
                3493,Hz,              -60.02, dBm,
                4324,Hz,              -62.18, dBm,
                5155,Hz,              -62.11, dBm,
                5986,Hz,              -62.87, dBm,
                6817,Hz,              -63.28, dBm,
                7648,Hz,              -64.05, dBm,
                8479,Hz,              -66.09, dBm,
                9310,Hz,              -66.87, dBm,
               10141,Hz,              -68.13, dBm,
               10972,Hz,              -69.22, dBm,
               11803,Hz,              -69.52, dBm,
               12634,Hz,              -70.09, dBm,
               13465,Hz,              -70.10, dBm,
               14296,Hz,              -70.70, dBm,
               15127,Hz,              -70.94, dBm,
               15958,Hz,              -71.95, dBm,
               16789,Hz,              -71.50, dBm,
               17620,Hz,              -71.47, dBm,
               18451,Hz,              -71.74, dBm,
               19282,Hz,              -72.66, dBm,
               20113,Hz,              -73.61, dBm,
               20944,Hz,              -72.55, dBm,
               21775,Hz,              -73.21, dBm,
               22606,Hz,              -73.69, dBm,
               23437,Hz,              -73.21, dBm,
               24268,Hz,              -73.23, dBm,
               25099,Hz,              -74.34, dBm,
               25930,Hz,              -73.76, dBm,
               26761,Hz,              -74.56, dBm,
               27592,Hz,              -73.94, dBm,
               28423,Hz,              -74.64, dBm,
               29254,Hz,              -74.57, dBm,
               30085,Hz,              -75.28, dBm,
               30916,Hz,              -75.14, dBm,
               31747,Hz,              -74.40, dBm,
               32578,Hz,              -75.37, dBm,
               33409,Hz,              -75.86, dBm,
               34240,Hz,              -75.12, dBm,
               35071,Hz,              -75.16, dBm,
               35902,Hz,              -74.97, dBm,
               36733,Hz,              -75.86, dBm,
               37564,Hz,              -76.36, dBm,
               38395,Hz,              -76.38, dBm,
               39226,Hz,              -76.26, dBm,
               40057,Hz,              -76.30, dBm,
               40888,Hz,              -75.54, dBm,
               41719,Hz,              -76.49, dBm,
               42550,Hz,              -76.57, dBm,
               43381,Hz,              -76.45, dBm,
               44212,Hz,              -76.15, dBm,
               45043,Hz,              -76.44, dBm,
               45874,Hz,              -76.58, dBm,
               46705,Hz,              -76.47, dBm,
               47536,Hz,              -76.35, dBm,
               48367,Hz,              -76.69, dBm,
               49198,Hz,              -75.82, dBm,
               50029,Hz,              -76.87, dBm,
               50860,Hz,              -77.20, dBm,
               51691,Hz,              -76.55, dBm,
               52522,Hz,              -77.08, dBm,
               53353,Hz,              -76.78, dBm,
               54184,Hz,              -77.26, dBm,
               55015,Hz,              -75.96, dBm,
               55846,Hz,              -76.47, dBm,
               56677,Hz,              -76.51, dBm,
               57508,Hz,              -76.25, dBm,
               58339,Hz,              -75.51, dBm,
               59170,Hz,              -73.70, dBm,
               60001,Hz,              -72.64, dBm,
               60832,Hz,              -68.91, dBm,
               61663,Hz,              -66.14, dBm,
               62494,Hz,              -70.53, dBm,
               63325,Hz,              -76.00, dBm,
               64156,Hz,              -79.48, dBm,
               64987,Hz,              -80.68, dBm,
               65818,Hz,              -80.27, dBm,
               66649,Hz,              -80.65, dBm,
               67480,Hz,              -80.08, dBm,
               68311,Hz,              -80.61, dBm,
               69142,Hz,              -80.56, dBm,
               69973,Hz,              -81.49, dBm,
               70804,Hz,              -80.77, dBm,
               71635,Hz,              -81.78, dBm,
               72466,Hz,              -81.33, dBm,
               73297,Hz,              -80.32, dBm,
               74128,Hz,              -80.91, dBm,
               74959,Hz,              -80.23, dBm,
               75790,Hz,              -81.80, dBm,
               76621,Hz,              -81.03, dBm,
               77452,Hz,              -81.00, dBm,
               78283,Hz,              -80.88, dBm,
               79114,Hz,              -80.86, dBm,
               79945,Hz,              -80.31, dBm,
               80776,Hz,              -81.13, dBm,
               81607,Hz,              -81.35, dBm,
               82438,Hz,              -81.13, dBm,
               83269,Hz,              -81.47, dBm,
               84100,Hz,              -80.80, dBm,
               84931,Hz,              -80.96, dBm,
               85762,Hz,              -80.93, dBm,
               86593,Hz,              -81.40, dBm,
               87424,Hz,              -81.25, dBm,
               88255,Hz,              -81.28, dBm,
               89086,Hz,              -80.78, dBm,
               89917,Hz,              -81.17, dBm,
               90748,Hz,              -80.82, dBm,
               91579,Hz,              -81.51, dBm,
               92410,Hz,              -81.85, dBm,
               93241,Hz,              -81.44, dBm,
               94072,Hz,              -81.93, dBm,
               94903,Hz,              -81.17, dBm,
               95734,Hz,              -81.23, dBm,
               96565,Hz,              -81.77, dBm,
               97396,Hz,              -82.11, dBm,
               98227,Hz,              -81.68, dBm,
               99058,Hz,              -82.57, dBm,
               99889,Hz,              -82.17, dBm,
              100720,Hz,              -82.28, dBm,
              101551,Hz,              -82.58, dBm,
              102382,Hz,              -81.84, dBm,
              103213,Hz,              -82.54, dBm,
              104044,Hz,              -81.71, dBm,
              104875,Hz,              -81.85, dBm,
              105706,Hz,              -82.39, dBm,
              106537,Hz,              -83.09, dBm,
              107368,Hz,              -82.66, dBm,
              108199,Hz,              -82.26, dBm,
              109030,Hz,              -83.12, dBm,
              109861,Hz,              -82.21, dBm,
              110692,Hz,              -83.10, dBm,
              111523,Hz,              -82.34, dBm,
              112354,Hz,              -82.88, dBm,
              113185,Hz,              -83.29, dBm,
              114016,Hz,              -82.69, dBm,
              114847,Hz,              -82.35, dBm,
              115678,Hz,              -83.17, dBm,
              116509,Hz,              -83.02, dBm,
              117340,Hz,              -83.21, dBm,
              118171,Hz,              -83.36, dBm,
              119002,Hz,              -83.43, dBm,
              119833,Hz,              -83.04, dBm,
              120664,Hz,              -83.50, dBm,
              121495,Hz,              -82.72, dBm,
              122326,Hz,              -82.85, dBm,
              123157,Hz,              -83.38, dBm,
              123988,Hz,              -82.86, dBm,
              124819,Hz,              -83.15, dBm,
              125650,Hz,              -83.46, dBm,
              126481,Hz,              -83.44, dBm,
              127312,Hz,              -82.48, dBm,
              128143,Hz,              -81.45, dBm,
              128974,Hz,              -83.82, dBm,
              129805,Hz,              -83.44, dBm,
              130636,Hz,              -83.55, dBm,
              131467,Hz,              -81.80, dBm,
              132298,Hz,              -83.43, dBm,
              133129,Hz,              -83.39, dBm,
              133960,Hz,              -83.53, dBm,
              134791,Hz,              -83.73, dBm,
              135622,Hz,              -83.63, dBm,
              136453,Hz,              -83.12, dBm,
              137284,Hz,              -83.64, dBm,
              138115,Hz,              -84.43, dBm,
              138946,Hz,              -83.85, dBm,
              139777,Hz,              -83.70, dBm,
              140608,Hz,              -84.48, dBm,
              141439,Hz,              -83.97, dBm,
              142270,Hz,              -84.86, dBm,
              143101,Hz,              -84.91, dBm,
              143932,Hz,              -83.61, dBm,
              144763,Hz,              -83.73, dBm,
              145594,Hz,              -84.40, dBm,
              146425,Hz,              -84.30, dBm,
              147256,Hz,              -84.84, dBm,
              148087,Hz,              -84.56, dBm,
              148918,Hz,              -85.75, dBm,
              149749,Hz,              -84.85, dBm,
              150580,Hz,              -83.55, dBm,
              151411,Hz,              -83.67, dBm,
              152242,Hz,              -83.60, dBm,
              153073,Hz,              -84.16, dBm,
              153904,Hz,              -84.29, dBm,
              154735,Hz,              -84.79, dBm,
              155566,Hz,              -85.32, dBm,
              156397,Hz,              -85.01, dBm,
              157228,Hz,              -84.02, dBm,
              158059,Hz,              -83.34, dBm,
              158890,Hz,              -84.03, dBm,
              159721,Hz,              -83.85, dBm,
              160552,Hz,              -84.38, dBm,
              161383,Hz,              -84.48, dBm,
              162214,Hz,              -83.93, dBm,
              163045,Hz,              -84.16, dBm,
              163876,Hz,              -83.96, dBm,
              164707,Hz,              -84.49, dBm,
              165538,Hz,              -84.29, dBm,
              166369,Hz,              -83.80, dBm,
              167200,Hz,              -83.94, dBm,
              168031,Hz,              -84.18, dBm,
              168862,Hz,              -84.35, dBm,
              169693,Hz,              -83.24, dBm,
              170524,Hz,              -83.05, dBm,
              171355,Hz,              -82.84, dBm,
              172186,Hz,              -82.33, dBm,
              173017,Hz,              -82.55, dBm,
              173848,Hz,              -82.68, dBm,
              174679,Hz,              -82.99, dBm,
              175510,Hz,              -82.50, dBm,
              176341,Hz,              -82.93, dBm,
              177172,Hz,              -83.19, dBm,
              178003,Hz,              -81.08, dBm,
              178834,Hz,              -80.86, dBm,
              179665,Hz,              -80.71, dBm,
              180496,Hz,              -80.84, dBm,
              181327,Hz,              -79.91, dBm,
              182158,Hz,              -79.84, dBm,
              182989,Hz,              -79.07, dBm,
              183820,Hz,              -78.34, dBm,
              184651,Hz,              -76.73, dBm,
              185482,Hz,              -76.32, dBm,
              186313,Hz,              -74.28, dBm,
              187144,Hz,              -72.99, dBm,
              187975,Hz,              -71.48, dBm,
              188806,Hz,              -71.60, dBm,
              189637,Hz,              -71.51, dBm,
              190468,Hz,              -72.14, dBm,
              191299,Hz,              -73.99, dBm,
              192130,Hz,              -76.11, dBm,
              192961,Hz,              -77.00, dBm,
              193792,Hz,              -78.67, dBm,
              194623,Hz,              -79.50, dBm,
              195454,Hz,              -81.25, dBm,
              196285,Hz,              -80.89, dBm,
              197116,Hz,              -82.04, dBm,
              197947,Hz,              -82.78, dBm,
              198778,Hz,              -82.50, dBm,
              199609,Hz,              -84.14, dBm,
              200440,Hz,              -84.99, dBm,
              201271,Hz,              -84.45, dBm,
              202102,Hz,              -85.60, dBm,
              202933,Hz,              -85.68, dBm,
              203764,Hz,              -85.76, dBm,
              204595,Hz,              -85.40, dBm,
              205426,Hz,              -85.19, dBm,
              206257,Hz,              -85.42, dBm,
              207088,Hz,              -87.10, dBm,
              207919,Hz,              -86.30, dBm,
              208750,Hz,              -87.57, dBm,
              209581,Hz,              -86.76, dBm,
              210412,Hz,              -86.67, dBm,
              211243,Hz,              -86.69, dBm,
              212074,Hz,              -86.42, dBm,
              212905,Hz,              -86.93, dBm,
              213736,Hz,              -86.08, dBm,
              214567,Hz,              -87.08, dBm,
              215398,Hz,              -87.58, dBm,
              216229,Hz,              -87.46, dBm,
              217060,Hz,              -87.61, dBm,
              217891,Hz,              -87.37, dBm,
              218722,Hz,              -88.19, dBm,
              219553,Hz,              -88.20, dBm,
              220384,Hz,              -87.18, dBm,
              221215,Hz,              -88.28, dBm,
              222046,Hz,              -87.61, dBm,
              222877,Hz,              -87.83, dBm,
              223708,Hz,              -88.19, dBm,
              224539,Hz,              -87.76, dBm,
              225370,Hz,              -87.83, dBm,
              226201,Hz,              -86.90, dBm,
              227032,Hz,              -88.58, dBm,
              227863,Hz,              -87.51, dBm,
              228694,Hz,              -87.21, dBm,
              229525,Hz,              -86.67, dBm,
              230356,Hz,              -86.65, dBm,
              231187,Hz,              -85.81, dBm,
              232018,Hz,              -84.33, dBm,
              232849,Hz,              -85.26, dBm,
              233680,Hz,              -84.06, dBm,
              234511,Hz,              -84.31, dBm,
              235342,Hz,              -83.40, dBm,
              236173,Hz,              -83.36, dBm,
              237004,Hz,              -81.27, dBm,
              237835,Hz,              -79.69, dBm,
              238666,Hz,              -77.88, dBm,
