Trace1,
Freq,,Amp,,
                1000,Hz,              -18.70, dBm,
                1831,Hz,              -18.92, dBm,
                2662,Hz,              -24.27, dBm,
                3493,Hz,              -43.14, dBm,
                4324,Hz,              -54.54, dBm,
                5155,Hz,              -56.48, dBm,
                5986,Hz,              -57.30, dBm,
                6817,Hz,              -57.00, dBm,
                7648,Hz,              -59.84, dBm,
                8479,Hz,              -61.84, dBm,
                9310,Hz,              -61.98, dBm,
               10141,Hz,              -60.88, dBm,
               10972,Hz,              -57.11, dBm,
               11803,Hz,              -59.06, dBm,
               12634,Hz,              -63.05, dBm,
               13465,Hz,              -64.42, dBm,
               14296,Hz,              -65.29, dBm,
               15127,Hz,              -65.56, dBm,
               15958,Hz,              -65.09, dBm,
               16789,Hz,              -65.37, dBm,
               17620,Hz,              -67.29, dBm,
               18451,Hz,              -67.58, dBm,
               19282,Hz,              -67.12, dBm,
               20113,Hz,              -67.18, dBm,
               20944,Hz,              -64.75, dBm,
               21775,Hz,              -65.17, dBm,
               22606,Hz,              -66.79, dBm,
               23437,Hz,              -67.53, dBm,
               24268,Hz,              -68.68, dBm,
               25099,Hz,              -68.46, dBm,
               25930,Hz,              -68.03, dBm,
               26761,Hz,              -69.09, dBm,
               27592,Hz,              -69.14, dBm,
               28423,Hz,              -68.22, dBm,
               29254,Hz,              -68.56, dBm,
               30085,Hz,              -68.09, dBm,
               30916,Hz,              -67.35, dBm,
               31747,Hz,              -66.74, dBm,
               32578,Hz,              -67.85, dBm,
               33409,Hz,              -68.78, dBm,
               34240,Hz,              -69.07, dBm,
               35071,Hz,              -68.73, dBm,
               35902,Hz,              -69.14, dBm,
               36733,Hz,              -69.03, dBm,
               37564,Hz,              -68.83, dBm,
               38395,Hz,              -69.66, dBm,
               39226,Hz,              -69.17, dBm,
               40057,Hz,              -68.18, dBm,
               40888,Hz,              -68.48, dBm,
               41719,Hz,              -68.70, dBm,
               42550,Hz,              -69.40, dBm,
               43381,Hz,              -67.42, dBm,
               44212,Hz,              -66.89, dBm,
               45043,Hz,              -66.46, dBm,
               45874,Hz,              -65.78, dBm,
               46705,Hz,              -65.69, dBm,
               47536,Hz,              -63.74, dBm,
               48367,Hz,              -63.36, dBm,
               49198,Hz,              -61.34, dBm,
               50029,Hz,              -58.20, dBm,
               50860,Hz,              -53.80, dBm,
               51691,Hz,              -51.17, dBm,
               52522,Hz,              -52.89, dBm,
               53353,Hz,              -58.32, dBm,
               54184,Hz,              -62.18, dBm,
               55015,Hz,              -65.63, dBm,
               55846,Hz,              -65.88, dBm,
               56677,Hz,              -67.05, dBm,
               57508,Hz,              -67.99, dBm,
               58339,Hz,              -68.44, dBm,
               59170,Hz,              -68.72, dBm,
               60001,Hz,              -69.08, dBm,
               60832,Hz,              -67.48, dBm,
               61663,Hz,              -68.17, dBm,
               62494,Hz,              -67.80, dBm,
               63325,Hz,              -68.51, dBm,
               64156,Hz,              -72.48, dBm,
               64987,Hz,              -73.94, dBm,
               65818,Hz,              -74.17, dBm,
               66649,Hz,              -75.39, dBm,
               67480,Hz,              -75.27, dBm,
               68311,Hz,              -75.73, dBm,
               69142,Hz,              -74.17, dBm,
               69973,Hz,              -74.03, dBm,
               70804,Hz,              -73.55, dBm,
               71635,Hz,              -73.56, dBm,
               72466,Hz,              -72.76, dBm,
               73297,Hz,              -74.15, dBm,
               74128,Hz,              -74.94, dBm,
               74959,Hz,              -75.29, dBm,
               75790,Hz,              -75.06, dBm,
               76621,Hz,              -74.86, dBm,
               77452,Hz,              -74.95, dBm,
               78283,Hz,              -75.50, dBm,
               79114,Hz,              -75.53, dBm,
               79945,Hz,              -75.81, dBm,
               80776,Hz,              -75.19, dBm,
               81607,Hz,              -74.43, dBm,
               82438,Hz,              -74.48, dBm,
               83269,Hz,              -74.88, dBm,
               84100,Hz,              -76.11, dBm,
               84931,Hz,              -75.95, dBm,
               85762,Hz,              -76.52, dBm,
               86593,Hz,              -75.65, dBm,
               87424,Hz,              -75.50, dBm,
               88255,Hz,              -75.50, dBm,
               89086,Hz,              -75.57, dBm,
               89917,Hz,              -75.70, dBm,
               90748,Hz,              -75.28, dBm,
               91579,Hz,              -75.78, dBm,
               92410,Hz,              -75.49, dBm,
               93241,Hz,              -75.76, dBm,
               94072,Hz,              -76.13, dBm,
               94903,Hz,              -75.89, dBm,
               95734,Hz,              -76.22, dBm,
               96565,Hz,              -75.60, dBm,
               97396,Hz,              -75.69, dBm,
               98227,Hz,              -76.31, dBm,
               99058,Hz,              -76.89, dBm,
               99889,Hz,              -76.80, dBm,
              100720,Hz,              -75.33, dBm,
              101551,Hz,              -76.11, dBm,
              102382,Hz,              -76.92, dBm,
              103213,Hz,              -77.55, dBm,
              104044,Hz,              -76.90, dBm,
              104875,Hz,              -76.18, dBm,
              105706,Hz,              -76.85, dBm,
              106537,Hz,              -75.84, dBm,
              107368,Hz,              -75.59, dBm,
              108199,Hz,              -75.46, dBm,
              109030,Hz,              -76.87, dBm,
              109861,Hz,              -76.94, dBm,
              110692,Hz,              -76.69, dBm,
              111523,Hz,              -77.34, dBm,
              112354,Hz,              -78.20, dBm,
              113185,Hz,              -78.08, dBm,
              114016,Hz,              -77.96, dBm,
              114847,Hz,              -78.23, dBm,
              115678,Hz,              -77.17, dBm,
              116509,Hz,              -77.96, dBm,
              117340,Hz,              -78.15, dBm,
              118171,Hz,              -78.28, dBm,
              119002,Hz,              -78.15, dBm,
              119833,Hz,              -77.02, dBm,
              120664,Hz,              -78.01, dBm,
              121495,Hz,              -76.80, dBm,
              122326,Hz,              -77.21, dBm,
              123157,Hz,              -77.98, dBm,
              123988,Hz,              -77.39, dBm,
              124819,Hz,              -77.61, dBm,
              125650,Hz,              -77.71, dBm,
              126481,Hz,              -76.64, dBm,
              127312,Hz,              -77.08, dBm,
              128143,Hz,              -76.59, dBm,
              128974,Hz,              -76.45, dBm,
              129805,Hz,              -77.09, dBm,
              130636,Hz,              -76.78, dBm,
              131467,Hz,              -77.48, dBm,
              132298,Hz,              -77.96, dBm,
              133129,Hz,              -77.59, dBm,
              133960,Hz,              -78.51, dBm,
              134791,Hz,              -78.32, dBm,
              135622,Hz,              -78.12, dBm,
              136453,Hz,              -79.45, dBm,
              137284,Hz,              -78.93, dBm,
              138115,Hz,              -77.95, dBm,
              138946,Hz,              -78.09, dBm,
              139777,Hz,              -79.13, dBm,
              140608,Hz,              -77.95, dBm,
              141439,Hz,              -78.13, dBm,
              142270,Hz,              -79.28, dBm,
              143101,Hz,              -78.95, dBm,
              143932,Hz,              -79.12, dBm,
              144763,Hz,              -78.92, dBm,
              145594,Hz,              -79.79, dBm,
              146425,Hz,              -79.21, dBm,
              147256,Hz,              -78.06, dBm,
              148087,Hz,              -77.95, dBm,
              148918,Hz,              -78.81, dBm,
              149749,Hz,              -78.03, dBm,
              150580,Hz,              -77.64, dBm,
              151411,Hz,              -77.49, dBm,
              152242,Hz,              -78.36, dBm,
              153073,Hz,              -77.92, dBm,
              153904,Hz,              -78.35, dBm,
              154735,Hz,              -78.10, dBm,
              155566,Hz,              -78.93, dBm,
              156397,Hz,              -78.66, dBm,
              157228,Hz,              -79.09, dBm,
              158059,Hz,              -79.24, dBm,
              158890,Hz,              -77.41, dBm,
              159721,Hz,              -77.50, dBm,
              160552,Hz,              -78.69, dBm,
              161383,Hz,              -78.18, dBm,
              162214,Hz,              -79.07, dBm,
              163045,Hz,              -79.05, dBm,
              163876,Hz,              -78.72, dBm,
              164707,Hz,              -78.61, dBm,
              165538,Hz,              -79.36, dBm,
              166369,Hz,              -78.79, dBm,
              167200,Hz,              -77.89, dBm,
              168031,Hz,              -78.53, dBm,
              168862,Hz,              -78.89, dBm,
              169693,Hz,              -78.73, dBm,
              170524,Hz,              -78.61, dBm,
              171355,Hz,              -78.46, dBm,
              172186,Hz,              -77.70, dBm,
              173017,Hz,              -77.91, dBm,
              173848,Hz,              -77.67, dBm,
              174679,Hz,              -77.74, dBm,
              175510,Hz,              -77.79, dBm,
              176341,Hz,              -78.17, dBm,
              177172,Hz,              -77.45, dBm,
              178003,Hz,              -76.45, dBm,
              178834,Hz,              -76.44, dBm,
              179665,Hz,              -75.75, dBm,
              180496,Hz,              -75.17, dBm,
              181327,Hz,              -75.25, dBm,
              182158,Hz,              -75.65, dBm,
              182989,Hz,              -74.96, dBm,
              183820,Hz,              -74.18, dBm,
              184651,Hz,              -72.61, dBm,
              185482,Hz,              -71.82, dBm,
              186313,Hz,              -69.59, dBm,
              187144,Hz,              -68.93, dBm,
              187975,Hz,              -68.20, dBm,
              188806,Hz,              -65.30, dBm,
              189637,Hz,              -64.26, dBm,
              190468,Hz,              -64.35, dBm,
              191299,Hz,              -64.97, dBm,
              192130,Hz,              -65.13, dBm,
              192961,Hz,              -66.66, dBm,
              193792,Hz,              -68.77, dBm,
              194623,Hz,              -70.60, dBm,
              195454,Hz,              -71.13, dBm,
              196285,Hz,              -72.32, dBm,
              197116,Hz,              -72.99, dBm,
              197947,Hz,              -73.39, dBm,
              198778,Hz,              -73.75, dBm,
              199609,Hz,              -75.15, dBm,
              200440,Hz,              -75.22, dBm,
              201271,Hz,              -76.05, dBm,
              202102,Hz,              -77.04, dBm,
              202933,Hz,              -77.05, dBm,
