Trace1,
Freq,,Amp,,
                1000,Hz,              -18.65, dBm,
                1831,Hz,              -18.88, dBm,
                2662,Hz,              -24.22, dBm,
                3493,Hz,              -43.12, dBm,
                4324,Hz,              -55.12, dBm,
                5155,Hz,              -55.84, dBm,
                5986,Hz,              -56.55, dBm,
                6817,Hz,              -57.19, dBm,
                7648,Hz,              -58.08, dBm,
                8479,Hz,              -59.40, dBm,
                9310,Hz,              -59.76, dBm,
               10141,Hz,              -59.68, dBm,
               10972,Hz,              -57.30, dBm,
               11803,Hz,              -59.46, dBm,
               12634,Hz,              -62.45, dBm,
               13465,Hz,              -62.57, dBm,
               14296,Hz,              -59.47, dBm,
               15127,Hz,              -55.07, dBm,
               15958,Hz,              -54.54, dBm,
               16789,Hz,              -60.34, dBm,
               17620,Hz,              -63.91, dBm,
               18451,Hz,              -65.28, dBm,
               19282,Hz,              -66.39, dBm,
               20113,Hz,              -65.78, dBm,
               20944,Hz,              -65.20, dBm,
               21775,Hz,              -65.12, dBm,
               22606,Hz,              -67.37, dBm,
               23437,Hz,              -68.21, dBm,
               24268,Hz,              -68.78, dBm,
               25099,Hz,              -69.46, dBm,
               25930,Hz,              -70.49, dBm,
               26761,Hz,              -70.30, dBm,
               27592,Hz,              -70.54, dBm,
               28423,Hz,              -70.86, dBm,
               29254,Hz,              -71.49, dBm,
               30085,Hz,              -70.79, dBm,
               30916,Hz,              -68.37, dBm,
               31747,Hz,              -69.06, dBm,
               32578,Hz,              -70.89, dBm,
               33409,Hz,              -72.04, dBm,
               34240,Hz,              -71.73, dBm,
               35071,Hz,              -72.50, dBm,
               35902,Hz,              -71.60, dBm,
               36733,Hz,              -72.50, dBm,
               37564,Hz,              -72.74, dBm,
               38395,Hz,              -72.01, dBm,
               39226,Hz,              -71.87, dBm,
               40057,Hz,              -71.52, dBm,
               40888,Hz,              -69.86, dBm,
               41719,Hz,              -71.36, dBm,
               42550,Hz,              -72.60, dBm,
               43381,Hz,              -72.93, dBm,
               44212,Hz,              -73.87, dBm,
               45043,Hz,              -74.11, dBm,
               45874,Hz,              -73.80, dBm,
               46705,Hz,              -73.48, dBm,
               47536,Hz,              -73.06, dBm,
               48367,Hz,              -73.82, dBm,
               49198,Hz,              -74.25, dBm,
               50029,Hz,              -74.09, dBm,
               50860,Hz,              -73.11, dBm,
               51691,Hz,              -72.41, dBm,
               52522,Hz,              -73.81, dBm,
               53353,Hz,              -73.91, dBm,
               54184,Hz,              -73.78, dBm,
               55015,Hz,              -74.67, dBm,
               55846,Hz,              -73.93, dBm,
               56677,Hz,              -73.82, dBm,
               57508,Hz,              -74.17, dBm,
               58339,Hz,              -74.46, dBm,
               59170,Hz,              -74.40, dBm,
               60001,Hz,              -74.16, dBm,
               60832,Hz,              -72.60, dBm,
               61663,Hz,              -72.34, dBm,
               62494,Hz,              -71.62, dBm,
               63325,Hz,              -71.33, dBm,
               64156,Hz,              -74.01, dBm,
               64987,Hz,              -74.48, dBm,
               65818,Hz,              -74.73, dBm,
               66649,Hz,              -74.50, dBm,
               67480,Hz,              -74.52, dBm,
               68311,Hz,              -74.95, dBm,
               69142,Hz,              -75.96, dBm,
               69973,Hz,              -75.27, dBm,
               70804,Hz,              -73.85, dBm,
               71635,Hz,              -74.65, dBm,
               72466,Hz,              -75.97, dBm,
               73297,Hz,              -75.35, dBm,
               74128,Hz,              -76.21, dBm,
               74959,Hz,              -75.95, dBm,
               75790,Hz,              -76.46, dBm,
               76621,Hz,              -75.03, dBm,
               77452,Hz,              -74.19, dBm,
               78283,Hz,              -75.19, dBm,
               79114,Hz,              -75.83, dBm,
               79945,Hz,              -75.36, dBm,
               80776,Hz,              -74.67, dBm,
               81607,Hz,              -74.21, dBm,
               82438,Hz,              -74.13, dBm,
               83269,Hz,              -74.00, dBm,
               84100,Hz,              -73.36, dBm,
               84931,Hz,              -73.34, dBm,
               85762,Hz,              -71.53, dBm,
               86593,Hz,              -70.52, dBm,
               87424,Hz,              -69.39, dBm,
               88255,Hz,              -66.77, dBm,
               89086,Hz,              -66.35, dBm,
               89917,Hz,              -69.30, dBm,
               90748,Hz,              -71.81, dBm,
               91579,Hz,              -73.49, dBm,
               92410,Hz,              -75.41, dBm,
               93241,Hz,              -75.88, dBm,
               94072,Hz,              -76.00, dBm,
               94903,Hz,              -76.42, dBm,
               95734,Hz,              -76.72, dBm,
               96565,Hz,              -75.76, dBm,
               97396,Hz,              -76.06, dBm,
               98227,Hz,              -75.80, dBm,
               99058,Hz,              -76.51, dBm,
               99889,Hz,              -76.00, dBm,
              100720,Hz,              -75.06, dBm,
              101551,Hz,              -75.62, dBm,
              102382,Hz,              -76.41, dBm,
              103213,Hz,              -76.51, dBm,
              104044,Hz,              -76.85, dBm,
              104875,Hz,              -76.32, dBm,
              105706,Hz,              -77.11, dBm,
              106537,Hz,              -77.15, dBm,
              107368,Hz,              -77.33, dBm,
              108199,Hz,              -77.55, dBm,
              109030,Hz,              -76.91, dBm,
              109861,Hz,              -77.46, dBm,
              110692,Hz,              -76.33, dBm,
              111523,Hz,              -75.26, dBm,
              112354,Hz,              -76.28, dBm,
              113185,Hz,              -76.48, dBm,
              114016,Hz,              -77.65, dBm,
              114847,Hz,              -77.96, dBm,
              115678,Hz,              -77.96, dBm,
              116509,Hz,              -77.90, dBm,
              117340,Hz,              -76.90, dBm,
              118171,Hz,              -77.09, dBm,
              119002,Hz,              -77.34, dBm,
              119833,Hz,              -76.32, dBm,
              120664,Hz,              -77.26, dBm,
              121495,Hz,              -77.45, dBm,
              122326,Hz,              -77.10, dBm,
              123157,Hz,              -77.24, dBm,
              123988,Hz,              -77.79, dBm,
              124819,Hz,              -78.50, dBm,
              125650,Hz,              -78.11, dBm,
              126481,Hz,              -77.59, dBm,
              127312,Hz,              -77.37, dBm,
              128143,Hz,              -77.34, dBm,
              128974,Hz,              -77.25, dBm,
              129805,Hz,              -76.73, dBm,
              130636,Hz,              -76.91, dBm,
              131467,Hz,              -76.99, dBm,
              132298,Hz,              -77.53, dBm,
              133129,Hz,              -78.21, dBm,
              133960,Hz,              -78.18, dBm,
              134791,Hz,              -78.27, dBm,
              135622,Hz,              -77.59, dBm,
              136453,Hz,              -77.28, dBm,
              137284,Hz,              -78.13, dBm,
              138115,Hz,              -77.90, dBm,
              138946,Hz,              -78.46, dBm,
              139777,Hz,              -78.72, dBm,
              140608,Hz,              -78.48, dBm,
              141439,Hz,              -77.69, dBm,
              142270,Hz,              -77.46, dBm,
              143101,Hz,              -78.50, dBm,
              143932,Hz,              -78.25, dBm,
              144763,Hz,              -78.71, dBm,
              145594,Hz,              -78.82, dBm,
              146425,Hz,              -79.07, dBm,
              147256,Hz,              -79.88, dBm,
              148087,Hz,              -79.03, dBm,
              148918,Hz,              -79.44, dBm,
              149749,Hz,              -78.74, dBm,
              150580,Hz,              -78.09, dBm,
              151411,Hz,              -77.67, dBm,
              152242,Hz,              -78.20, dBm,
              153073,Hz,              -77.86, dBm,
              153904,Hz,              -78.83, dBm,
              154735,Hz,              -78.98, dBm,
              155566,Hz,              -79.26, dBm,
              156397,Hz,              -79.43, dBm,
              157228,Hz,              -79.24, dBm,
              158059,Hz,              -78.78, dBm,
              158890,Hz,              -79.07, dBm,
