Trace1,
Freq,,Amp,,
                1000,Hz,              -18.84, dBm,
                1248,Hz,              -18.83, dBm,
                1496,Hz,              -18.83, dBm,
                1744,Hz,              -18.83, dBm,
                1992,Hz,              -18.83, dBm,
                2240,Hz,              -18.84, dBm,
                2488,Hz,              -18.84, dBm,
                2736,Hz,              -18.83, dBm,
                2984,Hz,              -18.82, dBm,
                3232,Hz,              -18.80, dBm,
                3480,Hz,              -18.76, dBm,
                3728,Hz,              -18.71, dBm,
                3976,Hz,              -18.67, dBm,
                4224,Hz,              -18.65, dBm,
                4472,Hz,              -18.70, dBm,
                4720,Hz,              -18.84, dBm,
                4968,Hz,              -19.12, dBm,
                5216,Hz,              -19.54, dBm,
                5464,Hz,              -20.15, dBm,
                5712,Hz,              -20.95, dBm,
                5960,Hz,              -21.97, dBm,
                6208,Hz,              -23.23, dBm,
                6456,Hz,              -24.78, dBm,
                6704,Hz,              -26.65, dBm,
                6952,Hz,              -28.86, dBm,
                7200,Hz,              -31.52, dBm,
                7448,Hz,              -34.49, dBm,
                7696,Hz,              -37.98, dBm,
                7944,Hz,              -41.51, dBm,
                8192,Hz,              -45.25, dBm,
                8440,Hz,              -47.93, dBm,
                8688,Hz,              -50.45, dBm,
                8936,Hz,              -52.03, dBm,
                9184,Hz,              -46.46, dBm,
                9432,Hz,              -46.38, dBm,
                9680,Hz,              -46.32, dBm,
                9928,Hz,              -46.28, dBm,
               10176,Hz,              -46.27, dBm,
               10424,Hz,              -46.29, dBm,
               10672,Hz,              -46.31, dBm,
               10920,Hz,              -46.36, dBm,
               11168,Hz,              -46.41, dBm,
               11416,Hz,              -46.47, dBm,
               11664,Hz,              -46.51, dBm,
               11912,Hz,              -46.55, dBm,
               12160,Hz,              -46.58, dBm,
               12408,Hz,              -46.60, dBm,
               12656,Hz,              -46.58, dBm,
               12904,Hz,              -46.54, dBm,
               13152,Hz,              -46.44, dBm,
               13400,Hz,              -46.28, dBm,
               13648,Hz,              -46.04, dBm,
               13896,Hz,              -45.75, dBm,
               14144,Hz,              -45.37, dBm,
               14392,Hz,              -44.96, dBm,
               14640,Hz,              -44.48, dBm,
               14888,Hz,              -43.95, dBm,
               15136,Hz,              -43.33, dBm,
               15384,Hz,              -42.64, dBm,
               15632,Hz,              -42.02, dBm,
               15880,Hz,              -41.18, dBm,
               16128,Hz,              -40.31, dBm,
               16376,Hz,              -39.37, dBm,
               16624,Hz,              -38.43, dBm,
               16872,Hz,              -37.48, dBm,
               17120,Hz,              -36.58, dBm,
               17368,Hz,              -35.70, dBm,
               17616,Hz,              -34.91, dBm,
               17864,Hz,              -34.20, dBm,
               18112,Hz,              -33.59, dBm,
               18360,Hz,              -33.11, dBm,
               18608,Hz,              -32.77, dBm,
               18856,Hz,              -32.57, dBm,
               19104,Hz,              -32.52, dBm,
               19352,Hz,              -32.63, dBm,
               19600,Hz,              -32.90, dBm,
               19848,Hz,              -33.33, dBm,
