Trace1,
Freq,,Amp,,
                   0,Hz,               -8.20, dBm,
                 833,Hz,               -8.31, dBm,
                1666,Hz,              -10.55, dBm,
                2499,Hz,              -20.14, dBm,
                3332,Hz,              -41.42, dBm,
                4165,Hz,              -56.67, dBm,
                4998,Hz,              -58.40, dBm,
                5831,Hz,              -59.46, dBm,
                6664,Hz,              -60.39, dBm,
                7497,Hz,              -60.87, dBm,
                8330,Hz,              -61.09, dBm,
                9163,Hz,              -62.56, dBm,
                9996,Hz,              -62.02, dBm,
               10829,Hz,              -61.15, dBm,
               11662,Hz,              -61.11, dBm,
               12495,Hz,              -62.65, dBm,
               13328,Hz,              -62.85, dBm,
               14161,Hz,              -63.03, dBm,
               14994,Hz,              -62.68, dBm,
               15827,Hz,              -62.77, dBm,
               16660,Hz,              -62.57, dBm,
               17493,Hz,              -62.45, dBm,
               18326,Hz,              -62.89, dBm,
               19159,Hz,              -63.08, dBm,
               19992,Hz,              -62.59, dBm,
               20825,Hz,              -62.81, dBm,
               21658,Hz,              -62.56, dBm,
               22491,Hz,              -62.82, dBm,
               23324,Hz,              -63.28, dBm,
               24157,Hz,              -63.03, dBm,
               24990,Hz,              -63.08, dBm,
               25823,Hz,              -62.90, dBm,
               26656,Hz,              -63.08, dBm,
               27489,Hz,              -63.17, dBm,
               28322,Hz,              -63.67, dBm,
               29155,Hz,              -63.59, dBm,
               29988,Hz,              -63.19, dBm,
               30821,Hz,              -62.94, dBm,
               31654,Hz,              -63.11, dBm,
               32487,Hz,              -63.89, dBm,
               33320,Hz,              -63.81, dBm,
               34153,Hz,              -64.33, dBm,
               34986,Hz,              -63.89, dBm,
               35819,Hz,              -64.57, dBm,
               36652,Hz,              -64.23, dBm,
               37485,Hz,              -63.96, dBm,
               38318,Hz,              -64.39, dBm,
               39151,Hz,              -64.11, dBm,
               39984,Hz,              -63.88, dBm,
               40817,Hz,              -64.63, dBm,
               41650,Hz,              -64.69, dBm,
               42483,Hz,              -64.10, dBm,
               43316,Hz,              -64.49, dBm,
               44149,Hz,              -64.38, dBm,
               44982,Hz,              -64.36, dBm,
               45815,Hz,              -64.43, dBm,
               46648,Hz,              -64.51, dBm,
               47481,Hz,              -64.53, dBm,
               48314,Hz,              -65.10, dBm,
               49147,Hz,              -64.91, dBm,
               49980,Hz,              -64.77, dBm,
               50813,Hz,              -64.66, dBm,
               51646,Hz,              -64.28, dBm,
               52479,Hz,              -64.49, dBm,
               53312,Hz,              -64.58, dBm,
               54145,Hz,              -64.46, dBm,
               54978,Hz,              -63.64, dBm,
               55811,Hz,              -63.83, dBm,
               56644,Hz,              -63.62, dBm,
               57477,Hz,              -63.04, dBm,
               58310,Hz,              -62.54, dBm,
               59143,Hz,              -61.85, dBm,
               59976,Hz,              -60.14, dBm,
               60809,Hz,              -58.52, dBm,
               61642,Hz,              -55.76, dBm,
               62475,Hz,              -52.66, dBm,
               63308,Hz,              -52.88, dBm,
               64141,Hz,              -58.06, dBm,
               64974,Hz,              -64.88, dBm,
               65807,Hz,              -69.74, dBm,
               66640,Hz,              -73.31, dBm,
               67473,Hz,              -74.45, dBm,
               68306,Hz,              -74.85, dBm,
               69139,Hz,              -75.70, dBm,
               69972,Hz,              -75.54, dBm,
