,CH1,CH2
Second,Volt,Volt
5.62200e-02,-9.20e+00,2.86e+00, 
5.62600e-02,-9.60e+00,2.94e+00, 
5.63000e-02,-9.20e+00,2.94e+00, 
5.63400e-02,-9.60e+00,2.98e+00, 
5.63800e-02,-9.60e+00,3.00e+00, 
5.64200e-02,-9.60e+00,3.04e+00, 
5.64600e-02,-9.60e+00,3.04e+00, 
5.65000e-02,-1.00e+01,3.08e+00, 
5.65400e-02,-1.00e+01,3.10e+00, 
5.65800e-02,-9.60e+00,3.06e+00, 
5.66200e-02,-1.00e+01,3.10e+00, 
5.66600e-02,-1.04e+01,3.12e+00, 
5.67000e-02,-1.04e+01,3.14e+00, 
5.67400e-02,-1.00e+01,3.12e+00, 
5.67800e-02,-1.04e+01,3.12e+00, 
5.68200e-02,-1.00e+01,3.16e+00, 
5.68600e-02,-1.04e+01,3.16e+00, 
5.69000e-02,-1.00e+01,3.12e+00, 
5.69400e-02,-1.04e+01,3.14e+00, 
5.69800e-02,-1.04e+01,3.12e+00, 
5.70200e-02,-1.04e+01,3.18e+00, 
5.70600e-02,-1.04e+01,3.14e+00, 
5.71000e-02,-1.04e+01,3.12e+00, 
5.71400e-02,-1.04e+01,3.16e+00, 
5.71800e-02,-1.04e+01,3.14e+00, 
5.72200e-02,-1.08e+01,3.16e+00, 
5.72600e-02,-1.04e+01,3.14e+00, 
5.73000e-02,-1.08e+01,3.12e+00, 
5.73400e-02,-1.08e+01,3.12e+00, 
5.73800e-02,-1.08e+01,3.14e+00, 
5.74200e-02,-1.04e+01,3.12e+00, 
5.74600e-02,-1.08e+01,3.14e+00, 
5.75000e-02,-1.04e+01,3.14e+00, 
5.75400e-02,-1.04e+01,3.12e+00, 
5.75800e-02,-1.04e+01,3.10e+00, 
5.76200e-02,-1.04e+01,3.12e+00, 
5.76600e-02,-1.04e+01,3.10e+00, 
5.77000e-02,-1.04e+01,3.10e+00, 
5.77400e-02,-1.04e+01,3.10e+00, 
5.77800e-02,-1.00e+01,3.08e+00, 
5.78200e-02,-1.04e+01,3.06e+00, 
5.78600e-02,-1.00e+01,3.10e+00, 
5.79000e-02,-1.00e+01,3.10e+00, 
5.79400e-02,-1.04e+01,3.06e+00, 
5.79800e-02,-1.04e+01,3.06e+00, 
5.80200e-02,-1.00e+01,3.04e+00, 
5.80600e-02,-1.00e+01,3.06e+00, 
5.81000e-02,-9.60e+00,3.04e+00, 
5.81400e-02,-1.00e+01,3.04e+00, 
5.81800e-02,-9.60e+00,3.04e+00, 
5.82200e-02,-9.60e+00,3.04e+00, 
5.82600e-02,-9.60e+00,3.04e+00, 
5.83000e-02,-9.20e+00,3.04e+00, 
5.83400e-02,-9.60e+00,3.02e+00, 
5.83800e-02,-9.20e+00,3.02e+00, 
5.84200e-02,-9.20e+00,3.04e+00, 
5.84600e-02,-9.20e+00,3.04e+00, 
5.85000e-02,-8.80e+00,3.02e+00, 
5.85400e-02,-9.20e+00,3.04e+00, 
5.85800e-02,-8.80e+00,3.04e+00, 
5.86200e-02,-9.20e+00,3.04e+00, 
5.86600e-02,-8.80e+00,3.04e+00, 
5.87000e-02,-8.80e+00,3.04e+00, 
5.87400e-02,-8.80e+00,3.06e+00, 
5.87800e-02,-8.80e+00,3.06e+00, 
5.88200e-02,-8.80e+00,3.10e+00, 
5.88600e-02,-8.80e+00,3.08e+00, 
5.89000e-02,-8.80e+00,3.12e+00, 
5.89400e-02,-8.80e+00,3.12e+00, 
5.89800e-02,-8.80e+00,3.10e+00, 
5.90200e-02,-8.40e+00,3.12e+00, 
5.90600e-02,-8.80e+00,3.14e+00, 
5.91000e-02,-8.40e+00,3.14e+00, 
5.91400e-02,-8.40e+00,3.18e+00, 
5.91800e-02,-8.40e+00,3.18e+00, 
5.92200e-02,-8.40e+00,3.20e+00, 
5.92600e-02,-8.40e+00,3.18e+00, 
5.93000e-02,-8.00e+00,3.22e+00, 
5.93400e-02,-8.00e+00,3.18e+00, 
5.93800e-02,-8.00e+00,3.22e+00, 
5.94200e-02,-8.00e+00,3.20e+00, 
5.94600e-02,-8.00e+00,3.22e+00, 
5.95000e-02,-7.60e+00,3.20e+00, 
5.95400e-02,-8.00e+00,3.18e+00, 
5.95800e-02,-7.60e+00,3.18e+00, 
5.96200e-02,-7.60e+00,3.14e+00, 
5.96600e-02,-7.60e+00,3.14e+00, 
5.97000e-02,-7.20e+00,3.06e+00, 
5.97400e-02,-7.60e+00,3.06e+00, 
5.97800e-02,-7.20e+00,2.98e+00, 
5.98200e-02,-7.20e+00,2.98e+00, 
5.98600e-02,-7.20e+00,2.88e+00, 
5.99000e-02,-7.20e+00,2.86e+00, 
5.99400e-02,-7.20e+00,2.76e+00, 
5.99800e-02,-7.20e+00,2.74e+00, 
6.00200e-02,-7.20e+00,2.62e+00, 
6.00600e-02,-7.20e+00,2.62e+00, 
6.01000e-02,-7.20e+00,2.52e+00, 
6.01400e-02,-7.20e+00,2.50e+00, 
6.01800e-02,-6.80e+00,2.42e+00, 
6.02200e-02,-7.20e+00,2.40e+00, 
6.02600e-02,-6.80e+00,2.32e+00, 
6.03000e-02,-6.80e+00,2.32e+00, 
6.03400e-02,-7.20e+00,2.28e+00, 
6.03800e-02,-6.80e+00,2.28e+00, 
6.04200e-02,-6.40e+00,2.26e+00, 
6.04600e-02,-6.40e+00,2.28e+00, 
6.05000e-02,-6.40e+00,2.32e+00, 
6.05400e-02,-6.40e+00,2.34e+00, 
6.05800e-02,-6.40e+00,2.42e+00, 
6.06200e-02,-6.40e+00,2.42e+00, 
6.06600e-02,-6.00e+00,2.54e+00, 
6.07000e-02,-6.00e+00,2.58e+00, 
6.07400e-02,-6.40e+00,2.70e+00, 
6.07800e-02,-6.00e+00,2.70e+00, 
6.08200e-02,-6.00e+00,2.84e+00, 
6.08600e-02,-6.00e+00,2.86e+00, 
6.09000e-02,-6.00e+00,3.00e+00, 
6.09400e-02,-6.00e+00,3.02e+00, 
6.09800e-02,-6.00e+00,3.12e+00, 
6.10200e-02,-6.00e+00,3.12e+00, 
6.10600e-02,-6.00e+00,3.18e+00, 
6.11000e-02,-6.00e+00,3.20e+00, 
6.11400e-02,-5.60e+00,3.18e+00, 
6.11800e-02,-5.60e+00,3.20e+00, 
6.12200e-02,-5.60e+00,3.12e+00, 
6.12600e-02,-5.60e+00,3.12e+00, 
6.13000e-02,-5.20e+00,3.00e+00, 
6.13400e-02,-5.60e+00,2.98e+00, 
6.13800e-02,-5.20e+00,2.84e+00, 
6.14200e-02,-5.60e+00,2.82e+00, 
6.14600e-02,-5.20e+00,2.68e+00, 
6.15000e-02,-5.20e+00,2.66e+00, 
6.15400e-02,-4.80e+00,2.52e+00, 
6.15800e-02,-5.20e+00,2.50e+00, 
6.16200e-02,-4.80e+00,2.38e+00, 
6.16600e-02,-4.80e+00,2.38e+00, 
6.17000e-02,-4.80e+00,2.30e+00, 
6.17400e-02,-4.80e+00,2.30e+00, 
6.17800e-02,-4.40e+00,2.28e+00, 
6.18200e-02,-4.40e+00,2.28e+00, 
6.18600e-02,-4.80e+00,2.32e+00, 
6.19000e-02,-4.40e+00,2.32e+00, 
6.19400e-02,-4.40e+00,2.40e+00, 
6.19800e-02,-4.40e+00,2.42e+00, 
6.20200e-02,-4.40e+00,2.54e+00, 
6.20600e-02,-4.40e+00,2.54e+00, 
6.21000e-02,-4.40e+00,2.66e+00, 
6.21400e-02,-4.40e+00,2.68e+00, 
6.21800e-02,-4.40e+00,2.80e+00, 
6.22200e-02,-4.40e+00,2.80e+00, 
6.22600e-02,-4.00e+00,2.94e+00, 
6.23000e-02,-4.40e+00,2.96e+00, 
6.23400e-02,-4.00e+00,3.04e+00, 
6.23800e-02,-4.00e+00,3.06e+00, 
6.24200e-02,-4.00e+00,3.14e+00, 
6.24600e-02,-4.00e+00,3.14e+00, 
6.25000e-02,-4.00e+00,3.20e+00, 
6.25400e-02,-4.00e+00,3.20e+00, 
6.25800e-02,-3.60e+00,3.18e+00, 
6.26200e-02,-3.60e+00,3.20e+00, 
6.26600e-02,-3.60e+00,3.18e+00, 
6.27000e-02,-3.60e+00,3.18e+00, 
6.27400e-02,-3.20e+00,3.12e+00, 
6.27800e-02,-3.60e+00,3.12e+00, 
6.28200e-02,-3.20e+00,3.06e+00, 
6.28600e-02,-3.20e+00,3.04e+00, 
6.29000e-02,-3.60e+00,2.98e+00, 
6.29400e-02,-3.20e+00,2.96e+00, 
6.29800e-02,-3.20e+00,2.88e+00, 
6.30200e-02,-3.20e+00,2.86e+00, 
6.30600e-02,-3.20e+00,2.78e+00, 
6.31000e-02,-3.20e+00,2.76e+00, 
6.31400e-02,-2.80e+00,2.68e+00, 
6.31800e-02,-3.20e+00,2.68e+00, 
6.32200e-02,-2.80e+00,2.60e+00, 
6.32600e-02,-2.80e+00,2.60e+00, 
6.33000e-02,-2.80e+00,2.54e+00, 
6.33400e-02,-2.80e+00,2.52e+00, 
6.33800e-02,-2.80e+00,2.46e+00, 
6.34200e-02,-2.40e+00,2.46e+00, 
6.34600e-02,-2.80e+00,2.40e+00, 
6.35000e-02,-2.40e+00,2.40e+00, 
6.35400e-02,-2.40e+00,2.38e+00, 
6.35800e-02,-2.40e+00,2.36e+00, 
6.36200e-02,-2.00e+00,2.34e+00, 
6.36600e-02,-2.40e+00,2.34e+00, 
6.37000e-02,-2.00e+00,2.38e+00, 
6.37400e-02,-2.00e+00,2.38e+00, 
6.37800e-02,-2.00e+00,2.44e+00, 
6.38200e-02,-2.00e+00,2.44e+00, 
6.38600e-02,-1.60e+00,2.60e+00, 
6.39000e-02,-2.00e+00,2.64e+00, 
