Trace1,
Freq,,Amp,,
                1000,Hz,               -9.51, dBm,
                1498,Hz,               -9.51, dBm,
                1996,Hz,               -9.51, dBm,
                2494,Hz,               -9.51, dBm,
                2992,Hz,               -9.52, dBm,
                3490,Hz,               -9.52, dBm,
                3988,Hz,               -9.52, dBm,
                4486,Hz,               -9.52, dBm,
                4984,Hz,               -9.53, dBm,
                5482,Hz,               -9.55, dBm,
                5980,Hz,               -9.66, dBm,
                6478,Hz,               -9.84, dBm,
                6976,Hz,              -10.18, dBm,
                7474,Hz,              -10.96, dBm,
                7972,Hz,              -11.87, dBm,
                8470,Hz,              -13.11, dBm,
                8968,Hz,              -18.01, dBm,
                9466,Hz,              -48.04, dBm,
                9964,Hz,              -48.06, dBm,
               10462,Hz,              -48.10, dBm,
               10960,Hz,              -48.08, dBm,
               11458,Hz,              -47.96, dBm,
               11956,Hz,              -47.79, dBm,
               12454,Hz,              -47.69, dBm,
               12952,Hz,              -47.57, dBm,
               13450,Hz,              -47.44, dBm,
               13948,Hz,              -47.41, dBm,
               14446,Hz,              -47.40, dBm,
               14944,Hz,              -47.43, dBm,
               15442,Hz,              -47.47, dBm,
               15940,Hz,              -47.52, dBm,
               16438,Hz,              -47.67, dBm,
               16936,Hz,              -47.83, dBm,
               17434,Hz,              -47.96, dBm,
               17932,Hz,              -48.16, dBm,
               18430,Hz,              -48.31, dBm,
               18928,Hz,              -48.42, dBm,
               19426,Hz,              -48.61, dBm,
               19924,Hz,              -48.80, dBm,
               20422,Hz,              -49.00, dBm,
               20920,Hz,              -49.24, dBm,
               21418,Hz,              -49.42, dBm,
               21916,Hz,              -49.59, dBm,
               22414,Hz,              -49.84, dBm,
               22912,Hz,              -50.01, dBm,
               23410,Hz,              -50.15, dBm,
               23908,Hz,              -50.39, dBm,
               24406,Hz,              -50.65, dBm,
               24904,Hz,              -50.92, dBm,
               25402,Hz,              -51.19, dBm,
               25900,Hz,              -51.42, dBm,
               26398,Hz,              -51.73, dBm,
               26896,Hz,              -51.93, dBm,
               27394,Hz,              -52.05, dBm,
               27892,Hz,              -52.18, dBm,
               28390,Hz,              -52.31, dBm,
               28888,Hz,              -52.46, dBm,
               29386,Hz,              -52.72, dBm,
               29884,Hz,              -52.94, dBm,
               30382,Hz,              -53.13, dBm,
               30880,Hz,              -53.33, dBm,
               31378,Hz,              -53.46, dBm,
               31876,Hz,              -53.52, dBm,
               32374,Hz,              -53.61, dBm,
               32872,Hz,              -53.68, dBm,
               33370,Hz,              -53.75, dBm,
               33868,Hz,              -53.91, dBm,
               34366,Hz,              -54.07, dBm,
               34864,Hz,              -54.21, dBm,
               35362,Hz,              -54.43, dBm,
               35860,Hz,              -54.60, dBm,
               36358,Hz,              -54.73, dBm,
               36856,Hz,              -54.88, dBm,
               37354,Hz,              -54.97, dBm,
               37852,Hz,              -54.94, dBm,
               38350,Hz,              -54.77, dBm,
               38848,Hz,              -54.58, dBm,
               39346,Hz,              -54.36, dBm,
               39844,Hz,              -54.22, dBm,
               40342,Hz,              -54.26, dBm,
               40840,Hz,              -54.45, dBm,
               41338,Hz,              -54.87, dBm,
               41836,Hz,              -55.32, dBm,
               42334,Hz,              -55.77, dBm,
               42832,Hz,              -56.31, dBm,
               43330,Hz,              -56.60, dBm,
               43828,Hz,              -56.69, dBm,
               44326,Hz,              -56.69, dBm,
               44824,Hz,              -56.65, dBm,
               45322,Hz,              -56.61, dBm,
               45820,Hz,              -56.61, dBm,
               46318,Hz,              -56.64, dBm,
               46816,Hz,              -56.67, dBm,
               47314,Hz,              -56.73, dBm,
               47812,Hz,              -56.77, dBm,
               48310,Hz,              -56.78, dBm,
               48808,Hz,              -56.84, dBm,
               49306,Hz,              -56.91, dBm,
               49804,Hz,              -57.00, dBm,
               50302,Hz,              -57.17, dBm,
               50800,Hz,              -57.34, dBm,
               51298,Hz,              -57.61, dBm,
               51796,Hz,              -57.83, dBm,
               52294,Hz,              -58.02, dBm,
               52792,Hz,              -58.31, dBm,
               53290,Hz,              -58.55, dBm,
               53788,Hz,              -58.73, dBm,
               54286,Hz,              -58.92, dBm,
               54784,Hz,              -59.05, dBm,
               55282,Hz,              -59.10, dBm,
               55780,Hz,              -59.12, dBm,
               56278,Hz,              -59.14, dBm,
               56776,Hz,              -59.14, dBm,
               57274,Hz,              -59.17, dBm,
               57772,Hz,              -59.22, dBm,
               58270,Hz,              -59.22, dBm,
               58768,Hz,              -59.23, dBm,
               59266,Hz,              -59.23, dBm,
               59764,Hz,              -59.22, dBm,
               60262,Hz,              -59.27, dBm,
               60760,Hz,              -59.39, dBm,
               61258,Hz,              -59.58, dBm,
               61756,Hz,              -59.90, dBm,
               62254,Hz,              -60.09, dBm,
               62752,Hz,              -60.12, dBm,
               63250,Hz,              -60.04, dBm,
               63748,Hz,              -59.98, dBm,
               64246,Hz,              -59.96, dBm,
               64744,Hz,              -60.08, dBm,
               65242,Hz,              -60.24, dBm,
               65740,Hz,              -60.38, dBm,
               66238,Hz,              -60.58, dBm,
               66736,Hz,              -60.71, dBm,
               67234,Hz,              -60.71, dBm,
               67732,Hz,              -60.60, dBm,
               68230,Hz,              -60.47, dBm,
               68728,Hz,              -60.29, dBm,
               69226,Hz,              -60.10, dBm,
               69724,Hz,              -60.05, dBm,
               70222,Hz,              -60.07, dBm,
               70720,Hz,              -60.19, dBm,
               71218,Hz,              -60.27, dBm,
               71716,Hz,              -60.27, dBm,
               72214,Hz,              -60.28, dBm,
               72712,Hz,              -60.36, dBm,
               73210,Hz,              -60.50, dBm,
               73708,Hz,              -60.80, dBm,
               74206,Hz,              -61.07, dBm,
               74704,Hz,              -61.31, dBm,
               75202,Hz,              -61.58, dBm,
               75700,Hz,              -61.84, dBm,
               76198,Hz,              -62.23, dBm,
               76696,Hz,              -62.54, dBm,
               77194,Hz,              -62.75, dBm,
               77692,Hz,              -62.89, dBm,
               78190,Hz,              -62.89, dBm,
               78688,Hz,              -62.77, dBm,
               79186,Hz,              -62.54, dBm,
               79684,Hz,              -62.36, dBm,
               80182,Hz,              -62.22, dBm,
               80680,Hz,              -62.18, dBm,
               81178,Hz,              -62.22, dBm,
               81676,Hz,              -62.25, dBm,
               82174,Hz,              -62.32, dBm,
               82672,Hz,              -62.42, dBm,
               83170,Hz,              -62.47, dBm,
               83668,Hz,              -62.50, dBm,
               84166,Hz,              -62.50, dBm,
               84664,Hz,              -62.47, dBm,
               85162,Hz,              -62.52, dBm,
               85660,Hz,              -62.67, dBm,
               86158,Hz,              -62.89, dBm,
               86656,Hz,              -63.20, dBm,
               87154,Hz,              -63.37, dBm,
               87652,Hz,              -63.40, dBm,
               88150,Hz,              -63.40, dBm,
               88648,Hz,              -63.37, dBm,
               89146,Hz,              -63.28, dBm,
               89644,Hz,              -63.23, dBm,
               90142,Hz,              -63.26, dBm,
               90640,Hz,              -63.32, dBm,
               91138,Hz,              -63.46, dBm,
               91636,Hz,              -63.57, dBm,
               92134,Hz,              -63.64, dBm,
               92632,Hz,              -63.72, dBm,
               93130,Hz,              -63.78, dBm,
               93628,Hz,              -63.83, dBm,
               94126,Hz,              -63.92, dBm,
               94624,Hz,              -64.03, dBm,
               95122,Hz,              -64.17, dBm,
               95620,Hz,              -64.43, dBm,
               96118,Hz,              -64.63, dBm,
               96616,Hz,              -64.72, dBm,
               97114,Hz,              -64.68, dBm,
               97612,Hz,              -64.59, dBm,
               98110,Hz,              -64.47, dBm,
               98608,Hz,              -64.38, dBm,
               99106,Hz,              -64.38, dBm,
               99604,Hz,              -64.41, dBm,
              100102,Hz,              -64.54, dBm,
              100600,Hz,              -64.71, dBm,
              101098,Hz,              -64.99, dBm,
              101596,Hz,              -65.19, dBm,
              102094,Hz,              -65.27, dBm,
              102592,Hz,              -65.25, dBm,
              103090,Hz,              -65.19, dBm,
              103588,Hz,              -65.06, dBm,
              104086,Hz,              -64.87, dBm,
              104584,Hz,              -64.72, dBm,
              105082,Hz,              -64.60, dBm,
              105580,Hz,              -64.58, dBm,
              106078,Hz,              -64.66, dBm,
              106576,Hz,              -64.78, dBm,
              107074,Hz,              -65.05, dBm,
              107572,Hz,              -65.29, dBm,
              108070,Hz,              -65.46, dBm,
              108568,Hz,              -65.59, dBm,
              109066,Hz,              -65.61, dBm,
              109564,Hz,              -65.56, dBm,
              110062,Hz,              -65.52, dBm,
              110560,Hz,              -65.56, dBm,
              111058,Hz,              -65.63, dBm,
              111556,Hz,              -65.79, dBm,
              112054,Hz,              -65.93, dBm,
              112552,Hz,              -66.04, dBm,
              113050,Hz,              -66.12, dBm,
              113548,Hz,              -66.12, dBm,
              114046,Hz,              -66.07, dBm,
              114544,Hz,              -66.02, dBm,
              115042,Hz,              -66.04, dBm,
              115540,Hz,              -66.07, dBm,
              116038,Hz,              -66.16, dBm,
              116536,Hz,              -66.25, dBm,
              117034,Hz,              -66.32, dBm,
              117532,Hz,              -66.49, dBm,
              118030,Hz,              -66.62, dBm,
              118528,Hz,              -66.66, dBm,
              119026,Hz,              -66.69, dBm,
              119524,Hz,              -66.73, dBm,
              120022,Hz,              -66.77, dBm,
              120520,Hz,              -66.87, dBm,
              121018,Hz,              -66.94, dBm,
              121516,Hz,              -66.96, dBm,
              122014,Hz,              -67.03, dBm,
              122512,Hz,              -67.14, dBm,
              123010,Hz,              -67.21, dBm,
              123508,Hz,              -67.24, dBm,
              124006,Hz,              -67.21, dBm,
              124504,Hz,              -67.08, dBm,
              125002,Hz,              -66.94, dBm,
              125500,Hz,              -66.77, dBm,
              125998,Hz,              -66.66, dBm,
              126496,Hz,              -66.68, dBm,
              126994,Hz,              -66.75, dBm,
              127492,Hz,              -66.88, dBm,
              127990,Hz,              -67.03, dBm,
              128488,Hz,              -67.18, dBm,
              128986,Hz,              -67.46, dBm,
              129484,Hz,              -67.69, dBm,
              129982,Hz,              -67.85, dBm,
              130480,Hz,              -68.05, dBm,
              130978,Hz,              -68.23, dBm,
              131476,Hz,              -68.37, dBm,
              131974,Hz,              -68.47, dBm,
              132472,Hz,              -68.48, dBm,
              132970,Hz,              -68.42, dBm,
              133468,Hz,              -68.33, dBm,
              133966,Hz,              -68.20, dBm,
              134464,Hz,              -68.03, dBm,
              134962,Hz,              -67.91, dBm,
              135460,Hz,              -67.95, dBm,
              135958,Hz,              -67.98, dBm,
              136456,Hz,              -68.03, dBm,
              136954,Hz,              -68.03, dBm,
              137452,Hz,              -67.93, dBm,
              137950,Hz,              -67.77, dBm,
              138448,Hz,              -67.70, dBm,
              138946,Hz,              -67.66, dBm,
              139444,Hz,              -67.69, dBm,
              139942,Hz,              -67.71, dBm,
              140440,Hz,              -67.66, dBm,
              140938,Hz,              -67.60, dBm,
              141436,Hz,              -67.61, dBm,
              141934,Hz,              -67.72, dBm,
              142432,Hz,              -68.05, dBm,
              142930,Hz,              -68.38, dBm,
              143428,Hz,              -68.64, dBm,
              143926,Hz,              -68.86, dBm,
              144424,Hz,              -68.96, dBm,
              144922,Hz,              -69.00, dBm,
              145420,Hz,              -69.09, dBm,
              145918,Hz,              -69.17, dBm,
              146416,Hz,              -69.19, dBm,
              146914,Hz,              -69.21, dBm,
              147412,Hz,              -69.24, dBm,
              147910,Hz,              -69.23, dBm,
              148408,Hz,              -69.24, dBm,
              148906,Hz,              -69.29, dBm,
              149404,Hz,              -69.34, dBm,
              149902,Hz,              -69.42, dBm,
              150400,Hz,              -69.43, dBm,
              150898,Hz,              -69.40, dBm,
              151396,Hz,              -69.39, dBm,
              151894,Hz,              -69.41, dBm,
              152392,Hz,              -69.54, dBm,
              152890,Hz,              -69.69, dBm,
              153388,Hz,              -69.77, dBm,
              153886,Hz,              -69.79, dBm,
              154384,Hz,              -69.70, dBm,
              154882,Hz,              -69.51, dBm,
              155380,Hz,              -69.27, dBm,
              155878,Hz,              -69.20, dBm,
              156376,Hz,              -69.24, dBm,
              156874,Hz,              -69.44, dBm,
              157372,Hz,              -69.63, dBm,
              157870,Hz,              -69.76, dBm,
              158368,Hz,              -69.94, dBm,
              158866,Hz,              -70.07, dBm,
              159364,Hz,              -70.13, dBm,
              159862,Hz,              -70.18, dBm,
              160360,Hz,              -70.22, dBm,
              160858,Hz,              -70.21, dBm,
              161356,Hz,              -70.19, dBm,
              161854,Hz,              -70.19, dBm,
              162352,Hz,              -70.17, dBm,
              162850,Hz,              -70.25, dBm,
              163348,Hz,              -70.36, dBm,
              163846,Hz,              -70.42, dBm,
              164344,Hz,              -70.52, dBm,
              164842,Hz,              -70.63, dBm,
              165340,Hz,              -70.70, dBm,
              165838,Hz,              -70.76, dBm,
              166336,Hz,              -70.78, dBm,
              166834,Hz,              -70.73, dBm,
              167332,Hz,              -70.59, dBm,
              167830,Hz,              -70.44, dBm,
              168328,Hz,              -70.27, dBm,
