Trace1,
Freq,,Amp,,
                1000,Hz,               -8.95, dBm,
                1165,Hz,               -8.95, dBm,
                1330,Hz,               -8.95, dBm,
                1495,Hz,               -8.95, dBm,
                1660,Hz,               -8.95, dBm,
                1825,Hz,               -8.95, dBm,
                1990,Hz,               -8.95, dBm,
                2155,Hz,               -8.96, dBm,
                2320,Hz,               -8.96, dBm,
                2485,Hz,               -8.98, dBm,
                2650,Hz,               -9.01, dBm,
                2815,Hz,               -9.09, dBm,
                2980,Hz,               -9.23, dBm,
                3145,Hz,               -9.46, dBm,
                3310,Hz,               -9.79, dBm,
                3475,Hz,              -10.22, dBm,
                3640,Hz,              -10.77, dBm,
                3805,Hz,              -11.43, dBm,
                3970,Hz,              -12.19, dBm,
                4135,Hz,              -13.03, dBm,
                4300,Hz,              -13.95, dBm,
                4465,Hz,              -14.95, dBm,
                4630,Hz,              -16.03, dBm,
                4795,Hz,              -17.20, dBm,
                4960,Hz,              -18.45, dBm,
                5125,Hz,              -19.78, dBm,
                5290,Hz,              -21.20, dBm,
                5455,Hz,              -22.70, dBm,
                5620,Hz,              -24.29, dBm,
                5785,Hz,              -25.95, dBm,
                5950,Hz,              -27.69, dBm,
                6115,Hz,              -29.52, dBm,
                6280,Hz,              -31.42, dBm,
                6445,Hz,              -33.41, dBm,
                6610,Hz,              -35.47, dBm,
                6775,Hz,              -37.59, dBm,
                6940,Hz,              -39.74, dBm,
                7105,Hz,              -41.89, dBm,
                7270,Hz,              -43.96, dBm,
                7435,Hz,              -45.88, dBm,
                7600,Hz,              -47.57, dBm,
                7765,Hz,              -48.96, dBm,
                7930,Hz,              -50.00, dBm,
                8095,Hz,              -50.71, dBm,
                8260,Hz,              -51.16, dBm,
                8425,Hz,              -51.47, dBm,
                8590,Hz,              -51.68, dBm,
                8755,Hz,              -51.80, dBm,
                8920,Hz,              -51.89, dBm,
                9085,Hz,              -52.71, dBm,
                9250,Hz,              -52.67, dBm,
                9415,Hz,              -52.68, dBm,
                9580,Hz,              -52.74, dBm,
                9745,Hz,              -52.84, dBm,
                9910,Hz,              -52.93, dBm,
               10075,Hz,              -52.98, dBm,
               10240,Hz,              -52.96, dBm,
               10405,Hz,              -52.86, dBm,
               10570,Hz,              -52.72, dBm,
               10735,Hz,              -52.60, dBm,
               10900,Hz,              -52.55, dBm,
               11065,Hz,              -52.56, dBm,
               11230,Hz,              -52.62, dBm,
               11395,Hz,              -52.71, dBm,
               11560,Hz,              -52.80, dBm,
               11725,Hz,              -52.87, dBm,
               11890,Hz,              -52.93, dBm,
               12055,Hz,              -52.99, dBm,
               12220,Hz,              -53.09, dBm,
               12385,Hz,              -53.24, dBm,
               12550,Hz,              -53.44, dBm,
               12715,Hz,              -53.64, dBm,
               12880,Hz,              -53.80, dBm,
               13045,Hz,              -53.91, dBm,
               13210,Hz,              -53.94, dBm,
               13375,Hz,              -53.93, dBm,
               13540,Hz,              -53.93, dBm,
               13705,Hz,              -53.94, dBm,
               13870,Hz,              -53.96, dBm,
               14035,Hz,              -53.98, dBm,
               14200,Hz,              -54.00, dBm,
               14365,Hz,              -54.04, dBm,
               14530,Hz,              -54.08, dBm,
               14695,Hz,              -54.12, dBm,
               14860,Hz,              -54.15, dBm,
               15025,Hz,              -54.19, dBm,
               15190,Hz,              -54.25, dBm,
               15355,Hz,              -54.34, dBm,
               15520,Hz,              -54.44, dBm,
               15685,Hz,              -54.53, dBm,
               15850,Hz,              -54.59, dBm,
               16015,Hz,              -54.62, dBm,
               16180,Hz,              -54.63, dBm,
               16345,Hz,              -54.67, dBm,
               16510,Hz,              -54.75, dBm,
               16675,Hz,              -54.86, dBm,
               16840,Hz,              -55.00, dBm,
               17005,Hz,              -55.14, dBm,
               17170,Hz,              -55.27, dBm,
               17335,Hz,              -55.40, dBm,
               17500,Hz,              -55.54, dBm,
               17665,Hz,              -55.67, dBm,
               17830,Hz,              -55.76, dBm,
               17995,Hz,              -55.80, dBm,
               18160,Hz,              -55.82, dBm,
               18325,Hz,              -55.83, dBm,
               18490,Hz,              -55.82, dBm,
               18655,Hz,              -55.79, dBm,
               18820,Hz,              -55.79, dBm,
               18985,Hz,              -55.82, dBm,
               19150,Hz,              -55.89, dBm,
               19315,Hz,              -56.00, dBm,
               19480,Hz,              -56.10, dBm,
               19645,Hz,              -56.19, dBm,
               19810,Hz,              -56.22, dBm,
               19975,Hz,              -56.19, dBm,
               20140,Hz,              -56.14, dBm,
               20305,Hz,              -56.08, dBm,
               20470,Hz,              -56.04, dBm,
               20635,Hz,              -56.04, dBm,
               20800,Hz,              -56.09, dBm,
               20965,Hz,              -56.18, dBm,
               21130,Hz,              -56.26, dBm,
               21295,Hz,              -56.31, dBm,
               21460,Hz,              -56.34, dBm,
               21625,Hz,              -56.34, dBm,
               21790,Hz,              -56.33, dBm,
               21955,Hz,              -56.33, dBm,
               22120,Hz,              -56.34, dBm,
               22285,Hz,              -56.38, dBm,
               22450,Hz,              -56.47, dBm,
               22615,Hz,              -56.59, dBm,
               22780,Hz,              -56.74, dBm,
               22945,Hz,              -56.90, dBm,
               23110,Hz,              -57.09, dBm,
               23275,Hz,              -57.29, dBm,
               23440,Hz,              -57.47, dBm,
               23605,Hz,              -57.64, dBm,
               23770,Hz,              -57.80, dBm,
               23935,Hz,              -57.94, dBm,
