Trace1,
Freq,,Amp,,
                1000,Hz,               -9.29, dBm,
                1498,Hz,               -9.29, dBm,
                1996,Hz,               -9.29, dBm,
                2494,Hz,               -9.29, dBm,
                2992,Hz,               -9.29, dBm,
                3490,Hz,               -9.28, dBm,
                3988,Hz,               -9.28, dBm,
                4486,Hz,               -9.29, dBm,
                4984,Hz,               -9.30, dBm,
                5482,Hz,               -9.33, dBm,
                5980,Hz,               -9.44, dBm,
                6478,Hz,               -9.62, dBm,
                6976,Hz,               -9.96, dBm,
                7474,Hz,              -10.73, dBm,
                7972,Hz,              -11.63, dBm,
                8470,Hz,              -12.87, dBm,
                8968,Hz,              -17.65, dBm,
                9466,Hz,              -55.84, dBm,
                9964,Hz,              -55.86, dBm,
               10462,Hz,              -55.95, dBm,
               10960,Hz,              -56.07, dBm,
               11458,Hz,              -56.19, dBm,
               11956,Hz,              -56.32, dBm,
               12454,Hz,              -56.35, dBm,
               12952,Hz,              -56.26, dBm,
               13450,Hz,              -56.06, dBm,
               13948,Hz,              -55.84, dBm,
               14446,Hz,              -55.61, dBm,
               14944,Hz,              -55.42, dBm,
               15442,Hz,              -55.35, dBm,
               15940,Hz,              -55.27, dBm,
               16438,Hz,              -55.19, dBm,
               16936,Hz,              -55.19, dBm,
               17434,Hz,              -55.16, dBm,
               17932,Hz,              -55.05, dBm,
               18430,Hz,              -54.91, dBm,
               18928,Hz,              -54.69, dBm,
               19426,Hz,              -54.35, dBm,
               19924,Hz,              -54.10, dBm,
               20422,Hz,              -53.85, dBm,
               20920,Hz,              -53.57, dBm,
               21418,Hz,              -53.45, dBm,
               21916,Hz,              -53.47, dBm,
               22414,Hz,              -53.78, dBm,
               22912,Hz,              -54.27, dBm,
               23410,Hz,              -54.98, dBm,
               23908,Hz,              -56.19, dBm,
               24406,Hz,              -57.22, dBm,
               24904,Hz,              -58.20, dBm,
               25402,Hz,              -59.18, dBm,
               25900,Hz,              -59.92, dBm,
               26398,Hz,              -60.62, dBm,
               26896,Hz,              -60.99, dBm,
               27394,Hz,              -61.19, dBm,
               27892,Hz,              -61.36, dBm,
               28390,Hz,              -61.46, dBm,
               28888,Hz,              -61.55, dBm,
               29386,Hz,              -61.77, dBm,
               29884,Hz,              -61.98, dBm,
               30382,Hz,              -62.19, dBm,
               30880,Hz,              -62.49, dBm,
               31378,Hz,              -62.72, dBm,
               31876,Hz,              -62.89, dBm,
               32374,Hz,              -63.11, dBm,
               32872,Hz,              -63.23, dBm,
               33370,Hz,              -63.28, dBm,
               33868,Hz,              -63.39, dBm,
               34366,Hz,              -63.51, dBm,
               34864,Hz,              -63.59, dBm,
               35362,Hz,              -63.63, dBm,
               35860,Hz,              -63.60, dBm,
               36358,Hz,              -63.45, dBm,
               36856,Hz,              -63.12, dBm,
               37354,Hz,              -62.79, dBm,
               37852,Hz,              -62.39, dBm,
               38350,Hz,              -61.90, dBm,
               38848,Hz,              -61.63, dBm,
               39346,Hz,              -61.47, dBm,
               39844,Hz,              -61.49, dBm,
               40342,Hz,              -61.69, dBm,
               40840,Hz,              -62.08, dBm,
               41338,Hz,              -62.80, dBm,
               41836,Hz,              -63.46, dBm,
               42334,Hz,              -64.12, dBm,
               42832,Hz,              -64.95, dBm,
               43330,Hz,              -65.49, dBm,
               43828,Hz,              -65.87, dBm,
               44326,Hz,              -66.26, dBm,
               44824,Hz,              -66.49, dBm,
               45322,Hz,              -66.61, dBm,
               45820,Hz,              -66.66, dBm,
               46318,Hz,              -66.65, dBm,
               46816,Hz,              -66.61, dBm,
               47314,Hz,              -66.60, dBm,
               47812,Hz,              -66.64, dBm,
               48310,Hz,              -66.67, dBm,
               48808,Hz,              -66.76, dBm,
               49306,Hz,              -66.90, dBm,
               49804,Hz,              -67.04, dBm,
               50302,Hz,              -67.21, dBm,
               50800,Hz,              -67.33, dBm,
               51298,Hz,              -67.44, dBm,
               51796,Hz,              -67.51, dBm,
               52294,Hz,              -67.50, dBm,
               52792,Hz,              -67.48, dBm,
               53290,Hz,              -67.52, dBm,
               53788,Hz,              -67.59, dBm,
               54286,Hz,              -67.73, dBm,
               54784,Hz,              -67.86, dBm,
               55282,Hz,              -67.99, dBm,
               55780,Hz,              -68.24, dBm,
               56278,Hz,              -68.48, dBm,
               56776,Hz,              -68.68, dBm,
               57274,Hz,              -68.87, dBm,
               57772,Hz,              -68.91, dBm,
               58270,Hz,              -68.83, dBm,
               58768,Hz,              -68.70, dBm,
               59266,Hz,              -68.62, dBm,
               59764,Hz,              -68.54, dBm,
               60262,Hz,              -68.51, dBm,
               60760,Hz,              -68.57, dBm,
               61258,Hz,              -68.65, dBm,
               61756,Hz,              -68.79, dBm,
               62254,Hz,              -68.88, dBm,
               62752,Hz,              -68.92, dBm,
               63250,Hz,              -69.00, dBm,
               63748,Hz,              -69.06, dBm,
               64246,Hz,              -69.07, dBm,
               64744,Hz,              -69.07, dBm,
               65242,Hz,              -69.07, dBm,
               65740,Hz,              -69.03, dBm,
               66238,Hz,              -68.94, dBm,
               66736,Hz,              -68.83, dBm,
               67234,Hz,              -68.67, dBm,
               67732,Hz,              -68.45, dBm,
               68230,Hz,              -68.30, dBm,
               68728,Hz,              -68.20, dBm,
               69226,Hz,              -68.18, dBm,
               69724,Hz,              -68.21, dBm,
