Trace1,
Freq,,Amp,,
                1000,Hz,               -9.61, dBm,
                1831,Hz,               -9.61, dBm,
                2662,Hz,               -9.62, dBm,
                3493,Hz,               -9.62, dBm,
                4324,Hz,               -9.62, dBm,
                5155,Hz,               -9.62, dBm,
                5986,Hz,               -9.62, dBm,
                6817,Hz,               -9.63, dBm,
                7648,Hz,               -9.65, dBm,
                8479,Hz,               -9.72, dBm,
                9310,Hz,              -55.20, dBm,
               10141,Hz,              -55.28, dBm,
               10972,Hz,              -55.33, dBm,
               11803,Hz,              -55.32, dBm,
               12634,Hz,              -55.26, dBm,
               13465,Hz,              -55.20, dBm,
               14296,Hz,              -55.18, dBm,
               15127,Hz,              -55.22, dBm,
               15958,Hz,              -55.22, dBm,
               16789,Hz,              -55.11, dBm,
               17620,Hz,              -54.86, dBm,
               18451,Hz,              -54.64, dBm,
               19282,Hz,              -54.45, dBm,
               20113,Hz,              -54.40, dBm,
               20944,Hz,              -54.62, dBm,
               21775,Hz,              -55.19, dBm,
               22606,Hz,              -55.89, dBm,
               23437,Hz,              -56.69, dBm,
               24268,Hz,              -57.56, dBm,
               25099,Hz,              -58.18, dBm,
               25930,Hz,              -58.57, dBm,
               26761,Hz,              -58.93, dBm,
               27592,Hz,              -59.40, dBm,
               28423,Hz,              -59.88, dBm,
               29254,Hz,              -60.36, dBm,
               30085,Hz,              -60.70, dBm,
               30916,Hz,              -60.99, dBm,
               31747,Hz,              -61.38, dBm,
               32578,Hz,              -61.79, dBm,
               33409,Hz,              -62.16, dBm,
               34240,Hz,              -62.50, dBm,
               35071,Hz,              -62.87, dBm,
               35902,Hz,              -63.15, dBm,
               36733,Hz,              -63.36, dBm,
               37564,Hz,              -63.52, dBm,
               38395,Hz,              -63.71, dBm,
               39226,Hz,              -63.90, dBm,
               40057,Hz,              -64.07, dBm,
               40888,Hz,              -64.24, dBm,
               41719,Hz,              -64.42, dBm,
               42550,Hz,              -64.69, dBm,
               43381,Hz,              -64.97, dBm,
               44212,Hz,              -65.21, dBm,
               45043,Hz,              -65.42, dBm,
               45874,Hz,              -65.65, dBm,
               46705,Hz,              -65.91, dBm,
               47536,Hz,              -66.14, dBm,
               48367,Hz,              -66.37, dBm,
               49198,Hz,              -66.62, dBm,
               50029,Hz,              -66.85, dBm,
               50860,Hz,              -67.08, dBm,
               51691,Hz,              -67.31, dBm,
               52522,Hz,              -67.55, dBm,
               53353,Hz,              -67.90, dBm,
               54184,Hz,              -68.29, dBm,
               55015,Hz,              -68.58, dBm,
               55846,Hz,              -68.81, dBm,
               56677,Hz,              -69.09, dBm,
               57508,Hz,              -69.37, dBm,
               58339,Hz,              -69.64, dBm,
               59170,Hz,              -69.80, dBm,
               60001,Hz,              -69.78, dBm,
               60832,Hz,              -69.44, dBm,
               61663,Hz,              -68.63, dBm,
               62494,Hz,              -67.60, dBm,
               63325,Hz,              -66.35, dBm,
               64156,Hz,              -64.94, dBm,
               64987,Hz,              -63.79, dBm,
               65818,Hz,              -63.16, dBm,
               66649,Hz,              -62.95, dBm,
               67480,Hz,              -63.24, dBm,
               68311,Hz,              -64.11, dBm,
               69142,Hz,              -65.44, dBm,
               69973,Hz,              -66.74, dBm,
               70804,Hz,              -67.98, dBm,
               71635,Hz,              -69.23, dBm,
               72466,Hz,              -70.04, dBm,
               73297,Hz,              -70.46, dBm,
               74128,Hz,              -70.65, dBm,
               74959,Hz,              -70.78, dBm,
               75790,Hz,              -70.79, dBm,
               76621,Hz,              -70.79, dBm,
               77452,Hz,              -70.79, dBm,
               78283,Hz,              -70.85, dBm,
               79114,Hz,              -70.95, dBm,
               79945,Hz,              -71.13, dBm,
               80776,Hz,              -71.33, dBm,
               81607,Hz,              -71.53, dBm,
               82438,Hz,              -71.77, dBm,
               83269,Hz,              -71.97, dBm,
               84100,Hz,              -72.09, dBm,
               84931,Hz,              -72.13, dBm,
               85762,Hz,              -72.14, dBm,
               86593,Hz,              -72.14, dBm,
               87424,Hz,              -72.22, dBm,
               88255,Hz,              -72.36, dBm,
               89086,Hz,              -72.52, dBm,
               89917,Hz,              -72.73, dBm,
               90748,Hz,              -72.92, dBm,
               91579,Hz,              -73.08, dBm,
               92410,Hz,              -73.16, dBm,
               93241,Hz,              -73.21, dBm,
               94072,Hz,              -73.19, dBm,
               94903,Hz,              -73.17, dBm,
               95734,Hz,              -73.17, dBm,
               96565,Hz,              -73.21, dBm,
