Trace1,
Freq,,Amp,,
                1000,Hz,               -9.64, dBm,
                1831,Hz,               -9.64, dBm,
                2662,Hz,               -9.64, dBm,
                3493,Hz,               -9.64, dBm,
                4324,Hz,               -9.64, dBm,
                5155,Hz,               -9.64, dBm,
                5986,Hz,               -9.64, dBm,
                6817,Hz,               -9.65, dBm,
                7648,Hz,               -9.66, dBm,
                8479,Hz,               -9.74, dBm,
                9310,Hz,              -56.83, dBm,
               10141,Hz,              -56.81, dBm,
               10972,Hz,              -56.81, dBm,
               11803,Hz,              -56.90, dBm,
               12634,Hz,              -57.03, dBm,
               13465,Hz,              -57.24, dBm,
               14296,Hz,              -57.41, dBm,
               15127,Hz,              -57.46, dBm,
               15958,Hz,              -57.33, dBm,
               16789,Hz,              -57.00, dBm,
               17620,Hz,              -56.62, dBm,
               18451,Hz,              -56.37, dBm,
               19282,Hz,              -56.22, dBm,
               20113,Hz,              -56.27, dBm,
               20944,Hz,              -56.61, dBm,
               21775,Hz,              -57.28, dBm,
               22606,Hz,              -58.08, dBm,
               23437,Hz,              -58.95, dBm,
               24268,Hz,              -59.86, dBm,
               25099,Hz,              -60.47, dBm,
               25930,Hz,              -60.79, dBm,
               26761,Hz,              -61.05, dBm,
               27592,Hz,              -61.47, dBm,
               28423,Hz,              -62.00, dBm,
               29254,Hz,              -62.58, dBm,
               30085,Hz,              -63.16, dBm,
               30916,Hz,              -63.74, dBm,
               31747,Hz,              -64.45, dBm,
               32578,Hz,              -65.06, dBm,
               33409,Hz,              -65.46, dBm,
               34240,Hz,              -65.74, dBm,
               35071,Hz,              -66.03, dBm,
               35902,Hz,              -66.25, dBm,
               36733,Hz,              -66.35, dBm,
               37564,Hz,              -66.34, dBm,
               38395,Hz,              -66.31, dBm,
               39226,Hz,              -66.32, dBm,
               40057,Hz,              -66.43, dBm,
               40888,Hz,              -66.55, dBm,
               41719,Hz,              -66.66, dBm,
               42550,Hz,              -66.83, dBm,
               43381,Hz,              -67.05, dBm,
               44212,Hz,              -67.23, dBm,
               45043,Hz,              -67.38, dBm,
               45874,Hz,              -67.58, dBm,
               46705,Hz,              -67.82, dBm,
               47536,Hz,              -68.05, dBm,
               48367,Hz,              -68.25, dBm,
               49198,Hz,              -68.48, dBm,
               50029,Hz,              -68.70, dBm,
               50860,Hz,              -68.84, dBm,
               51691,Hz,              -68.87, dBm,
               52522,Hz,              -68.80, dBm,
               53353,Hz,              -68.66, dBm,
               54184,Hz,              -68.43, dBm,
               55015,Hz,              -68.18, dBm,
               55846,Hz,              -67.78, dBm,
               56677,Hz,              -67.12, dBm,
               57508,Hz,              -66.28, dBm,
               58339,Hz,              -65.38, dBm,
               59170,Hz,              -64.68, dBm,
               60001,Hz,              -63.97, dBm,
               60832,Hz,              -63.08, dBm,
               61663,Hz,              -62.08, dBm,
               62494,Hz,              -61.20, dBm,
               63325,Hz,              -60.39, dBm,
               64156,Hz,              -59.69, dBm,
               64987,Hz,              -59.40, dBm,
               65818,Hz,              -59.54, dBm,
               66649,Hz,              -60.04, dBm,
               67480,Hz,              -61.03, dBm,
               68311,Hz,              -62.33, dBm,
               69142,Hz,              -63.86, dBm,
               69973,Hz,              -65.26, dBm,
               70804,Hz,              -66.66, dBm,
               71635,Hz,              -68.29, dBm,
               72466,Hz,              -69.67, dBm,
               73297,Hz,              -70.62, dBm,
               74128,Hz,              -71.33, dBm,
               74959,Hz,              -72.09, dBm,
               75790,Hz,              -72.71, dBm,
               76621,Hz,              -73.11, dBm,
               77452,Hz,              -73.34, dBm,
               78283,Hz,              -73.54, dBm,
               79114,Hz,              -73.74, dBm,
               79945,Hz,              -74.06, dBm,
               80776,Hz,              -74.42, dBm,
               81607,Hz,              -74.74, dBm,
               82438,Hz,              -75.01, dBm,
               83269,Hz,              -75.09, dBm,
               84100,Hz,              -75.03, dBm,
               84931,Hz,              -74.87, dBm,
               85762,Hz,              -74.63, dBm,
               86593,Hz,              -74.36, dBm,
               87424,Hz,              -74.15, dBm,
               88255,Hz,              -74.08, dBm,
               89086,Hz,              -74.12, dBm,
               89917,Hz,              -74.29, dBm,
               90748,Hz,              -74.51, dBm,
               91579,Hz,              -74.69, dBm,
               92410,Hz,              -74.81, dBm,
               93241,Hz,              -74.89, dBm,
               94072,Hz,              -74.85, dBm,
               94903,Hz,              -74.83, dBm,
               95734,Hz,              -74.79, dBm,
               96565,Hz,              -74.76, dBm,
               97396,Hz,              -74.77, dBm,
               98227,Hz,              -74.80, dBm,
               99058,Hz,              -74.84, dBm,
               99889,Hz,              -74.87, dBm,
              100720,Hz,              -74.97, dBm,
              101551,Hz,              -75.17, dBm,
