,CH1,CH3
Second,Volt,Volt
-2.99856e-02,-1.60e-02,1.68e-01, 
-2.98856e-02,-3.20e-02,1.71e-01, 
-2.97856e-02,-3.20e-02,1.71e-01, 
-2.96856e-02,-6.40e-02,1.75e-01, 
-2.95856e-02,-6.40e-02,1.74e-01, 
-2.94856e-02,-8.80e-02,1.80e-01, 
-2.93856e-02,-8.80e-02,1.78e-01, 
-2.92856e-02,-1.12e-01,1.86e-01, 
-2.91856e-02,-1.04e-01,1.84e-01, 
-2.90856e-02,-1.36e-01,1.89e-01, 
-2.89856e-02,-1.36e-01,1.88e-01, 
-2.88856e-02,-1.60e-01,1.93e-01, 
-2.87856e-02,-1.60e-01,1.92e-01, 
-2.86856e-02,-1.84e-01,1.98e-01, 
-2.85856e-02,-1.84e-01,1.95e-01, 
-2.84856e-02,-2.08e-01,2.00e-01, 
-2.83856e-02,-2.08e-01,1.95e-01, 
-2.82856e-02,-2.32e-01,2.01e-01, 
-2.81856e-02,-2.40e-01,1.99e-01, 
-2.80856e-02,-2.64e-01,1.95e-01, 
-2.79856e-02,-2.64e-01,1.98e-01, 
-2.78856e-02,-2.88e-01,1.95e-01, 
-2.77856e-02,-2.88e-01,1.94e-01, 
-2.76856e-02,-3.12e-01,1.86e-01, 
-2.75856e-02,-3.12e-01,1.89e-01, 
-2.74856e-02,-3.36e-01,1.82e-01, 
-2.73856e-02,-3.36e-01,1.83e-01, 
-2.72856e-02,-3.52e-01,1.74e-01, 
-2.71856e-02,-3.60e-01,1.75e-01, 
-2.70856e-02,-3.76e-01,1.71e-01, 
-2.69856e-02,-3.84e-01,1.67e-01, 
-2.68856e-02,-4.08e-01,1.71e-01, 
-2.67856e-02,-4.08e-01,1.68e-01, 
-2.66856e-02,-4.32e-01,1.72e-01, 
-2.65856e-02,-4.32e-01,1.71e-01, 
-2.64856e-02,-4.56e-01,1.75e-01, 
-2.63856e-02,-4.64e-01,1.76e-01, 
-2.62856e-02,-4.80e-01,1.84e-01, 
-2.61856e-02,-4.80e-01,1.85e-01, 
-2.60856e-02,-5.04e-01,1.94e-01, 
-2.59856e-02,-5.04e-01,1.93e-01, 
-2.58856e-02,-5.28e-01,2.00e-01, 
-2.57856e-02,-5.28e-01,2.01e-01, 
-2.56856e-02,-5.52e-01,1.94e-01, 
-2.55856e-02,-5.52e-01,1.97e-01, 
-2.54856e-02,-5.76e-01,1.88e-01, 
-2.53856e-02,-5.76e-01,1.88e-01, 
-2.52856e-02,-5.92e-01,1.75e-01, 
-2.51856e-02,-5.76e-01,1.77e-01, 
-2.50856e-02,-5.52e-01,1.72e-01, 
-2.49856e-02,-5.52e-01,1.75e-01, 
-2.48856e-02,-5.28e-01,1.88e-01, 
-2.47856e-02,-5.28e-01,1.90e-01, 
-2.46856e-02,-5.04e-01,1.97e-01, 
-2.45856e-02,-5.04e-01,1.99e-01, 
-2.44856e-02,-4.88e-01,1.95e-01, 
-2.43856e-02,-4.80e-01,1.95e-01, 
-2.42856e-02,-4.56e-01,2.00e-01, 
-2.41856e-02,-4.56e-01,2.00e-01, 
-2.40856e-02,-4.32e-01,1.95e-01, 
-2.39856e-02,-4.32e-01,1.94e-01, 
-2.38856e-02,-4.08e-01,1.87e-01, 
-2.37856e-02,-4.08e-01,1.90e-01, 
-2.36856e-02,-3.84e-01,1.85e-01, 
-2.35856e-02,-3.76e-01,1.86e-01, 
-2.34856e-02,-3.52e-01,1.77e-01, 
-2.33856e-02,-3.52e-01,1.80e-01, 
-2.32856e-02,-3.36e-01,1.72e-01, 
-2.31856e-02,-3.28e-01,1.69e-01, 
-2.30856e-02,-3.12e-01,1.73e-01, 
-2.29856e-02,-3.04e-01,1.67e-01, 
-2.28856e-02,-2.88e-01,1.70e-01, 
-2.27856e-02,-2.80e-01,1.68e-01, 
-2.26856e-02,-2.64e-01,1.71e-01, 
-2.25856e-02,-2.56e-01,1.74e-01, 
-2.24856e-02,-2.32e-01,1.80e-01, 
-2.23856e-02,-2.32e-01,1.80e-01, 
-2.22856e-02,-2.08e-01,1.87e-01, 
-2.21856e-02,-2.08e-01,1.87e-01, 
-2.20856e-02,-1.84e-01,1.95e-01, 
-2.19856e-02,-1.76e-01,1.93e-01, 
-2.18856e-02,-1.52e-01,2.01e-01, 
-2.17856e-02,-1.44e-01,2.01e-01, 
-2.16856e-02,-1.28e-01,1.95e-01, 
-2.15856e-02,-1.28e-01,1.95e-01, 
-2.14856e-02,-1.04e-01,1.90e-01, 
-2.13856e-02,-1.04e-01,1.90e-01, 
-2.12856e-02,-8.00e-02,1.80e-01, 
-2.11856e-02,-8.00e-02,1.79e-01, 
-2.10856e-02,-5.60e-02,1.72e-01, 
-2.09856e-02,-5.60e-02,1.72e-01, 
-2.08856e-02,-3.20e-02,1.67e-01, 
-2.07856e-02,-3.20e-02,1.69e-01, 
-2.06856e-02,-8.00e-03,1.73e-01, 
-2.05856e-02,-8.00e-03,1.71e-01, 
-2.04856e-02,2.40e-02,1.80e-01, 
-2.03856e-02,2.40e-02,1.81e-01, 
-2.02856e-02,4.80e-02,1.91e-01, 
-2.01856e-02,4.80e-02,1.90e-01, 
-2.00856e-02,7.20e-02,1.97e-01, 
-1.99856e-02,7.20e-02,1.95e-01, 
-1.98856e-02,9.60e-02,2.00e-01, 
-1.97856e-02,9.60e-02,1.99e-01, 
-1.96856e-02,1.12e-01,1.92e-01, 
-1.95856e-02,1.20e-01,1.92e-01, 
-1.94856e-02,1.36e-01,1.83e-01, 
-1.93856e-02,1.44e-01,1.82e-01, 
-1.92856e-02,1.68e-01,1.73e-01, 
-1.91856e-02,1.68e-01,1.75e-01, 
-1.90856e-02,1.92e-01,1.69e-01, 
-1.89856e-02,1.92e-01,1.67e-01, 
-1.88856e-02,2.16e-01,1.73e-01, 
-1.87856e-02,2.24e-01,1.72e-01, 
-1.86856e-02,2.48e-01,1.80e-01, 
-1.85856e-02,2.48e-01,1.82e-01, 
-1.84856e-02,2.64e-01,1.91e-01, 
-1.83856e-02,2.72e-01,1.90e-01, 
-1.82856e-02,2.88e-01,1.97e-01, 
-1.81856e-02,2.88e-01,1.95e-01, 
-1.80856e-02,3.12e-01,2.00e-01, 
-1.79856e-02,3.12e-01,1.96e-01, 
-1.78856e-02,3.36e-01,1.89e-01, 
-1.77856e-02,3.36e-01,1.90e-01, 
-1.76856e-02,3.68e-01,1.81e-01, 
-1.75856e-02,3.68e-01,1.79e-01, 
-1.74856e-02,3.92e-01,1.70e-01, 
-1.73856e-02,3.92e-01,1.72e-01, 
-1.72856e-02,4.08e-01,1.67e-01, 
-1.71856e-02,4.16e-01,1.69e-01, 
-1.70856e-02,4.32e-01,1.78e-01, 
-1.69856e-02,4.40e-01,1.79e-01, 
-1.68856e-02,4.56e-01,1.88e-01, 
-1.67856e-02,4.64e-01,1.89e-01, 
-1.66856e-02,4.80e-01,1.97e-01, 
-1.65856e-02,4.88e-01,1.98e-01, 
-1.64856e-02,5.12e-01,1.94e-01, 
-1.63856e-02,5.12e-01,1.94e-01, 
-1.62856e-02,5.36e-01,1.83e-01, 
-1.61856e-02,5.36e-01,1.83e-01, 
-1.60856e-02,5.60e-01,1.69e-01, 
-1.59856e-02,5.68e-01,1.72e-01, 
-1.58856e-02,5.84e-01,1.67e-01, 
-1.57856e-02,5.92e-01,1.70e-01, 
-1.56856e-02,6.08e-01,1.80e-01, 
-1.55856e-02,6.08e-01,1.82e-01, 
-1.54856e-02,6.32e-01,1.93e-01, 
-1.53856e-02,6.32e-01,1.94e-01, 
-1.52856e-02,6.48e-01,1.98e-01, 
-1.51856e-02,6.32e-01,1.97e-01, 
-1.50856e-02,6.16e-01,1.91e-01, 
-1.49856e-02,6.16e-01,1.90e-01, 
-1.48856e-02,5.92e-01,1.97e-01, 
-1.47856e-02,5.92e-01,1.95e-01, 
-1.46856e-02,5.68e-01,1.98e-01, 
-1.45856e-02,5.68e-01,1.93e-01, 
-1.44856e-02,5.44e-01,1.97e-01, 
-1.43856e-02,5.44e-01,1.94e-01, 
-1.42856e-02,5.20e-01,1.98e-01, 
-1.41856e-02,5.12e-01,1.97e-01, 
-1.40856e-02,4.96e-01,1.93e-01, 
-1.39856e-02,4.88e-01,1.93e-01, 
-1.38856e-02,4.64e-01,1.88e-01, 
-1.37856e-02,4.72e-01,1.86e-01, 
-1.36856e-02,4.48e-01,1.90e-01, 
-1.35856e-02,4.48e-01,1.89e-01, 
-1.34856e-02,4.24e-01,1.84e-01, 
-1.33856e-02,4.24e-01,1.84e-01, 
-1.32856e-02,3.92e-01,1.78e-01, 
-1.31856e-02,3.92e-01,1.78e-01, 
-1.30856e-02,3.68e-01,1.74e-01, 
-1.29856e-02,3.68e-01,1.75e-01, 
-1.28856e-02,3.44e-01,1.71e-01, 
-1.27856e-02,3.44e-01,1.73e-01, 
-1.26856e-02,3.20e-01,1.67e-01, 
-1.25856e-02,3.20e-01,1.68e-01, 
-1.24856e-02,2.96e-01,1.70e-01, 
-1.23856e-02,2.96e-01,1.68e-01, 
-1.22856e-02,2.80e-01,1.72e-01, 
-1.21856e-02,2.72e-01,1.73e-01, 
-1.20856e-02,2.56e-01,1.77e-01, 
-1.19856e-02,2.48e-01,1.78e-01, 
-1.18856e-02,2.24e-01,1.87e-01, 
-1.17856e-02,2.24e-01,1.87e-01, 
-1.16856e-02,1.92e-01,1.93e-01, 
-1.15856e-02,1.92e-01,1.93e-01, 
-1.14856e-02,1.68e-01,1.97e-01, 
-1.13856e-02,1.68e-01,1.97e-01, 
-1.12856e-02,1.44e-01,1.93e-01, 
-1.11856e-02,1.44e-01,1.96e-01, 
-1.10856e-02,1.20e-01,1.89e-01, 
-1.09856e-02,1.12e-01,1.89e-01, 
-1.08856e-02,9.60e-02,1.81e-01, 
-1.07856e-02,9.60e-02,1.81e-01, 
-1.06856e-02,7.20e-02,1.72e-01, 
-1.05856e-02,7.20e-02,1.71e-01, 
-1.04856e-02,4.80e-02,1.67e-01, 
-1.03856e-02,4.80e-02,1.69e-01, 
-1.02856e-02,2.40e-02,1.75e-01, 
-1.01856e-02,1.60e-02,1.72e-01, 
-1.00856e-02,-8.00e-03,1.81e-01, 
-9.98560e-03,-8.00e-03,1.83e-01, 
-9.88560e-03,-3.20e-02,1.91e-01, 
-9.78560e-03,-3.20e-02,1.93e-01, 
-9.68560e-03,-5.60e-02,1.99e-01, 
-9.58560e-03,-6.40e-02,1.99e-01, 
-9.48560e-03,-8.80e-02,1.94e-01, 
-9.38560e-03,-8.80e-02,1.93e-01, 
-9.28560e-03,-1.04e-01,1.86e-01, 
-9.18560e-03,-1.12e-01,1.85e-01, 
-9.08560e-03,-1.28e-01,1.75e-01, 
-8.98560e-03,-1.36e-01,1.76e-01, 
-8.88560e-03,-1.52e-01,1.69e-01, 
-8.78560e-03,-1.52e-01,1.67e-01, 
-8.68560e-03,-1.76e-01,1.71e-01, 
-8.58560e-03,-1.84e-01,1.72e-01, 
-8.48560e-03,-2.08e-01,1.77e-01, 
-8.38560e-03,-2.08e-01,1.81e-01, 
-8.28560e-03,-2.32e-01,1.90e-01, 
-8.18560e-03,-2.32e-01,1.89e-01, 
-8.08560e-03,-2.56e-01,1.97e-01, 
-7.98560e-03,-2.64e-01,2.00e-01, 
-7.88560e-03,-2.80e-01,1.97e-01, 
-7.78560e-03,-2.88e-01,1.96e-01, 
-7.68560e-03,-3.12e-01,1.89e-01, 
-7.58560e-03,-3.12e-01,1.91e-01, 
-7.48560e-03,-3.28e-01,1.78e-01, 
-7.38560e-03,-3.36e-01,1.79e-01, 
-7.28560e-03,-3.52e-01,1.72e-01, 
-7.18560e-03,-3.60e-01,1.71e-01, 
-7.08560e-03,-3.76e-01,1.67e-01, 
-6.98560e-03,-3.76e-01,1.67e-01, 
-6.88560e-03,-4.08e-01,1.74e-01, 
-6.78560e-03,-4.08e-01,1.73e-01, 
-6.68560e-03,-4.32e-01,1.84e-01, 
-6.58560e-03,-4.32e-01,1.83e-01, 
-6.48560e-03,-4.56e-01,1.93e-01, 
-6.38560e-03,-4.56e-01,1.94e-01, 
-6.28560e-03,-4.80e-01,1.98e-01, 
-6.18560e-03,-4.80e-01,1.98e-01, 
-6.08560e-03,-4.96e-01,1.95e-01, 
-5.98560e-03,-5.04e-01,1.94e-01, 
-5.88560e-03,-5.28e-01,1.87e-01, 
-5.78560e-03,-5.28e-01,1.89e-01, 
-5.68560e-03,-5.52e-01,1.78e-01, 
-5.58560e-03,-5.52e-01,1.75e-01, 
-5.48560e-03,-5.76e-01,1.70e-01, 
-5.38560e-03,-5.76e-01,1.71e-01, 
-5.28560e-03,-5.92e-01,1.67e-01, 
-5.18560e-03,-5.76e-01,1.69e-01, 
-5.08560e-03,-5.60e-01,1.74e-01, 
-4.98560e-03,-5.60e-01,1.73e-01, 
-4.88560e-03,-5.36e-01,1.68e-01, 
-4.78560e-03,-5.28e-01,1.70e-01, 
-4.68560e-03,-5.12e-01,1.82e-01, 
-4.58560e-03,-5.04e-01,1.83e-01, 
-4.48560e-03,-4.88e-01,1.86e-01, 
-4.38560e-03,-4.80e-01,1.83e-01, 
-4.28560e-03,-4.64e-01,1.89e-01, 
-4.18560e-03,-4.56e-01,1.91e-01, 
-4.08560e-03,-4.32e-01,1.98e-01, 
-3.98560e-03,-4.32e-01,1.99e-01, 
-3.88560e-03,-4.08e-01,1.96e-01, 
-3.78560e-03,-4.08e-01,1.96e-01, 
-3.68560e-03,-3.84e-01,1.92e-01, 
-3.58560e-03,-3.76e-01,1.93e-01, 
-3.48560e-03,-3.60e-01,1.81e-01, 
-3.38560e-03,-3.52e-01,1.83e-01, 
-3.28560e-03,-3.36e-01,1.71e-01, 
-3.18560e-03,-3.28e-01,1.70e-01, 
-3.08560e-03,-3.12e-01,1.66e-01, 
-2.98560e-03,-3.12e-01,1.67e-01, 
-2.88560e-03,-2.88e-01,1.71e-01, 
-2.78560e-03,-2.88e-01,1.70e-01, 
-2.68560e-03,-2.64e-01,1.83e-01, 
-2.58560e-03,-2.56e-01,1.82e-01, 
-2.48560e-03,-2.32e-01,1.94e-01, 
-2.38560e-03,-2.32e-01,1.94e-01, 
-2.28560e-03,-2.08e-01,1.97e-01, 
-2.18560e-03,-2.08e-01,2.01e-01, 
-2.08560e-03,-1.84e-01,1.95e-01, 
-1.98560e-03,-1.76e-01,1.96e-01, 
-1.88560e-03,-1.60e-01,1.85e-01, 
-1.78560e-03,-1.52e-01,1.84e-01, 
-1.68560e-03,-1.28e-01,1.71e-01, 
-1.58560e-03,-1.28e-01,1.74e-01, 
-1.48560e-03,-1.12e-01,1.69e-01, 
-1.38560e-03,-1.04e-01,1.67e-01, 
-1.28560e-03,-8.80e-02,1.73e-01, 
-1.18560e-03,-8.80e-02,1.73e-01, 
-1.08560e-03,-6.40e-02,1.85e-01, 
-9.85600e-04,-5.60e-02,1.84e-01, 
-8.85600e-04,-3.20e-02,1.93e-01, 
-7.85600e-04,-3.20e-02,1.94e-01, 
-6.85600e-04,-8.00e-03,1.99e-01, 
-5.85600e-04,-8.00e-03,1.99e-01, 
-4.85600e-04,1.60e-02,1.90e-01, 
-3.85600e-04,2.40e-02,1.90e-01, 
-2.85600e-04,4.00e-02,1.81e-01, 
-1.85600e-04,4.80e-02,1.79e-01, 
-8.56000e-05,6.40e-02,1.72e-01, 
1.44000e-05,6.40e-02,1.72e-01, 
1.14400e-04,8.80e-02,1.68e-01, 
2.14400e-04,8.80e-02,1.67e-01, 
3.14400e-04,1.12e-01,1.73e-01, 
4.14400e-04,1.12e-01,1.73e-01, 
5.14400e-04,1.36e-01,1.82e-01, 
6.14400e-04,1.36e-01,1.82e-01, 
7.14400e-04,1.60e-01,1.90e-01, 
8.14400e-04,1.60e-01,1.89e-01, 
9.14400e-04,1.84e-01,1.97e-01, 
1.01440e-03,1.92e-01,2.00e-01, 
1.11440e-03,2.08e-01,1.95e-01, 
1.21440e-03,2.16e-01,1.99e-01, 
1.31440e-03,2.32e-01,1.91e-01, 
1.41440e-03,2.40e-01,1.92e-01, 
1.51440e-03,2.56e-01,1.86e-01, 
1.61440e-03,2.56e-01,1.86e-01, 
1.71440e-03,2.80e-01,1.77e-01, 
1.81440e-03,2.88e-01,1.78e-01, 
1.91440e-03,3.12e-01,1.71e-01, 
2.01440e-03,3.12e-01,1.73e-01, 
2.11440e-03,3.36e-01,1.68e-01, 
2.21440e-03,3.36e-01,1.71e-01, 
2.31440e-03,3.60e-01,1.66e-01, 
2.41440e-03,3.60e-01,1.67e-01, 
2.51440e-03,3.84e-01,1.73e-01, 
2.61440e-03,3.84e-01,1.72e-01, 
2.71440e-03,4.00e-01,1.76e-01, 
2.81440e-03,4.08e-01,1.76e-01, 
2.91440e-03,4.32e-01,1.81e-01, 
3.01440e-03,4.32e-01,1.81e-01, 
3.11440e-03,4.56e-01,1.84e-01, 
3.21440e-03,4.56e-01,1.86e-01, 
3.31440e-03,4.80e-01,1.90e-01, 
3.41440e-03,4.80e-01,1.90e-01, 
